"ConState","Year","AllLabourInsR","InsEmpR","InsUnempR","AllLabourOutR","AllLabourInsU","InsEmpU","InsUnempU","AllLabourOutU"
"Johor",1993,467.6,451.2,16.4,219.5,535.4,523.1,12.3,206.1
"Kedah",1993,318.6,305.7,12.9,196.1,174.2,169.4,4.9,98.8
"Kelantan",1993,274.9,260.8,14.1,169.5,138.8,133.6,5.2,86.6
"Melaka",1993,132.3,128.2,4.1,68.8,93.3,90.2,3,42.6
"N. Sembilan",1993,153.7,149.3,4.4,80.6,138.9,135,3.9,63.3
"P. Pinang",1993,117.8,113.2,4.6,62.5,425.4,417.8,7.6,230.1
"Pahang",1993,265.3,258.7,6.6,157.2,127.9,120,8,74.2
"Perak",1993,315.4,300.2,15.2,186.6,384.1,369.6,14.6,246.3
"Perlis",1993,53.8,52.8,1,35.5,17.9,17.9,0,14.7
"Sabah",1993,484.8,453.8,31,251.7,240.5,220.2,20.3,137.3
"Sarawak",1993,478,450.1,27.9,125.8,332.2,303.7,28.5,147.1
"Selangor",1993,229.8,222.1,7.7,126.1,880.3,858.1,22.2,412.9
"Terengganu",1993,167.8,157.4,10.4,87.5,134.3,123.4,10.8,77.7
"W.P Labuan",1993,11.5,11,0.6,9.5,6.9,6.4,0.5,4.2
"Johor",1995,436.4,425.9,10.6,234.8,479,465.9,13.1,261.5
"Kedah",1995,338,332,5.9,209.4,193.7,189.1,4.6,126
"Kelantan",1995,284,274.3,9.7,164.7,143.6,138.3,5.3,85.9
"Melaka",1995,120.9,118.2,2.7,80.9,107,104.5,2.4,61.3
"N. Sembilan",1995,165.4,160,5.4,98.3,140.2,136.2,4,74.4
"P. Pinang",1995,115.9,114.2,1.7,73.8,376.8,371.6,5.2,214.1
"Pahang",1995,246.2,237.3,9,165.5,138.8,134.1,4.7,81.4
"Perak",1995,292.8,280.2,12.6,206.8,367.2,354.1,13.1,267.3
"Perlis",1995,53.6,52.7,0.9,37.3,18.2,18.1,0.1,12.9
"Sabah",1995,519,490.1,28.9,255.1,245.7,232.6,13.1,139.8
"Sarawak",1995,478.9,458.4,20.5,143.4,349.8,330.7,19,170.2
"Selangor",1995,304.3,296.9,7.4,161.7,1061.7,1042,19.7,479
"Terengganu",1995,151.9,143.1,8.9,89.5,133,124.9,8.1,82.8
"W.P Labuan",1995,20.6,19.5,1.1,12.1,12,11.6,0.4,6.8
"Johor",1996,504.6,493.5,11.1,242.9,513.8,503.1,10.6,265.5
"Kedah",1996,366.3,356.5,9.8,231.3,183.5,179.5,4,130.3
"Kelantan",1996,306,296.2,9.8,174.8,154.8,149.3,5.5,91.1
"Melaka",1996,131.8,129.3,2.4,75.7,108.9,107.6,1.2,53
"N. Sembilan",1996,169.6,164.9,4.8,84.8,157.9,154.4,3.5,77.2
"P. Pinang",1996,116.2,115.1,1,75.9,336.3,334.3,2,218.4
"Pahang",1996,278.7,270.9,7.8,174.8,138.3,135.3,3,84.5
"Perak",1996,312.5,300.5,12.1,191.5,434.3,422.6,11.8,251.9
"Perlis",1996,53.4,52.3,1.1,34.7,18.1,17.8,0.4,12.7
"Sabah",1996,727.6,703.3,24.3,298.7,304.7,289.2,15.5,168.2
"Sarawak",1996,513.1,494.2,18.9,160.5,356.4,337.4,19,152.4
"Selangor",1996,333.4,330.1,3.4,157.3,1037.6,1029,8.7,462.2
"Terengganu",1996,172.7,167,5.7,89,135.5,131,4.5,75.7
"W.P Labuan",1996,19.8,18.8,1,11.8,19.6,18.6,1,9.1
"Johor",1997,511.4,502.8,8.6,256.6,565.5,555.5,10,259.7
"Kedah",1997,414.7,403.7,11,256.7,201.9,197.6,4.3,122
"Kelantan",1997,282.6,271.1,11.5,184.7,146.7,142.6,4.2,91.5
"Melaka",1997,138.6,136.2,2.3,80.6,123,120.9,2.1,52.8
"N. Sembilan",1997,157.9,152.2,5.7,85.2,157.8,155.4,2.4,85.1
"P. Pinang",1997,130.9,129.5,1.4,64.5,427,422.4,4.6,195.3
"Pahang",1997,268.9,260.4,8.5,177.2,138.7,135,3.7,86.6
"Perak",1997,338.1,329.7,8.5,216.1,422.4,414.5,7.9,274.7
"Perlis",1997,51.1,49.7,1.4,36.3,20.7,20.4,0.3,12.1
"Sabah",1997,723.7,691.7,32,365.2,324.9,308.4,16.5,180.6
"Sarawak",1997,495.4,479.5,15.9,162.9,369.5,352,17.5,183.3
"Selangor",1997,328,324.9,3.1,174.3,1015,1004.9,10.1,483
"Terengganu",1997,159,154,5.1,92.3,133.8,128.3,5.5,86.3
"W.P Labuan",1997,19.3,18.5,0.8,10.8,16.7,16.2,0.4,7.7
"Johor",1998,504.6,497.9,6.7,278.1,539.7,529.1,10.6,287.8
"Kedah",1998,378,365.6,12.3,249.1,209.2,201.7,7.5,122.9
"Kelantan",1998,304.5,293,11.6,190.3,144.5,137.7,6.8,91.1
"Melaka",1998,132.6,129,3.5,85.8,116,113.4,2.7,66.9
"N. Sembilan",1998,164.7,158.4,6.3,90,151,146,5.1,81.4
"P. Pinang",1998,145.5,141.5,4,70.9,453.8,443.7,10.1,207.8
"Pahang",1998,238.7,233,5.7,194.3,136.1,131.9,4.2,93
"Perak",1998,321.1,308.6,12.5,207,391.6,376.3,15.3,256
"Perlis",1998,51.8,49.9,1.9,38.5,22.4,21.1,1.3,15.2
"Sabah",1998,783.1,750.3,32.7,380.4,340.6,317.9,22.7,200
"Sarawak",1998,504.1,480.3,23.9,183.4,364,344.1,19.9,189.9
"Selangor",1998,386.8,381.5,5.3,204.4,1070.1,1048.8,21.3,576.9
"Terengganu",1998,174.7,168.8,5.9,100.8,130.9,124.7,6.2,80.4
"W.P Labuan",1998,18.2,17.8,0.5,11.2,19.7,19.2,0.5,8.5
"Johor",1999,506.9,490.3,16.6,317.1,553.5,538.8,14.8,291.7
"Kedah",1999,470.9,454.8,16.2,279.7,230.5,223.9,6.6,142.7
"Kelantan",1999,301.2,292,9.2,192.1,149.9,144.8,5.1,102.1
"Melaka",1999,136,133.5,2.5,84.7,111.9,109.7,2.2,64.7
"N. Sembilan",1999,143.3,136.9,6.3,100.9,142.6,137.9,4.6,91.7
"P. Pinang",1999,149.4,145.9,3.5,75.4,468.1,457,11,198.6
"Pahang",1999,268.9,260.7,8.1,188,127.3,123.7,3.6,92.7
"Perak",1999,317.9,304.2,13.7,210.4,397.4,380.3,17.1,271
"Perlis",1999,58.2,56.4,1.9,39.9,23,22.1,0.9,14.6
"Sabah",1999,800.7,760.8,39.8,407.2,366.5,340.9,25.5,213.3
"Sarawak",1999,410.2,398.1,12.1,121.3,496.7,466.9,29.8,257.3
"Selangor",1999,393.1,386,7.1,212.7,1062,1041.2,20.8,557.1
"Terengganu",1999,177.5,171.3,6.2,93,134.7,128.8,6,89.4
"W.P Labuan",1999,19.9,19.7,0.2,12.5,23,21.6,1.5,12.9
"Johor",2000,583.5,570.8,12.7,312.7,638.9,624.6,14.3,291.4
"Kedah",2000,409.4,397.4,11.9,246,235.8,229.1,6.7,145.3
"Kelantan",2000,291.5,284.2,7.3,187.9,145.7,141.5,4.2,101.1
"Melaka",2000,146,144.2,1.8,89.4,110.9,109.4,1.5,56.5
"N. Sembilan",2000,194.2,188.1,6.2,112.9,165.4,159.4,6,94.5
"P. Pinang",2000,183.7,180,3.7,76.8,498.6,489.2,9.3,204.1
"Pahang",2000,303.9,295.3,8.6,186.2,155.2,151.5,3.7,93.3
"Perak",2000,339.1,325.7,13.4,216.8,432.2,418.3,13.8,265.1
"Perlis",2000,55.5,54.2,1.3,36.6,21.5,20.6,0.9,13
"Sabah",2000,687.6,649.4,38.2,362.7,304,284.4,19.5,182.4
"Sarawak",2000,544.1,524.6,19.6,175.1,371.6,351.7,19.9,181.4
"Selangor",2000,460.2,450,10.2,232.1,1255.1,1231.4,23.6,626.9
