"ConState","Year","TotInsLabour","InsLabEmp","InsLabUnemp","TotOutLabour","TotInsLabourM","InsLabEmpM","InsLabUnempM","TotOutLabourM","TotInsLabourF","InsLabEmpF","InsLabUnempF","TotOutLabourF","AllTotalWorkForce","SubTotWorkForce","BumiWorkForce","ChineseWorkForce","IndianWorkForce","OtherWorkForce","SubTotForeignWorkForce"
"Malaysia",2004,10346.2,9979.5,366.6,5730.5,6615.1,6390.4,224.7,1563.7,3731.1,3589.1,142,4166.9,10346.2,9349.2,5839,2651.1,756.7,102.5,996.9
"Melaka",2004,269.5,265.1,4.4,162.2,169,166.4,2.9,46.8,100.5,99,1.4,115.3,269.5,250.4,154.5,76.1,18.4,1.4,19.1
"N. Sembilan",2004,373.6,360.3,13.2,218.6,236.4,228.5,7.9,69.8,137.2,131.8,5.4,148.8,373.6,345.8,193.9,90.6,60.1,1.1,27.8
"P. Pinang",2004,636.7,625,11.7,326.8,385.8,378.6,7.2,88.8,250.9,246.4,4.5,238,636.7,587.1,243.1,282.7,59,2.3,49.6
"Pahang",2004,544,526.2,17.8,349.3,379.1,368.8,10.4,91.8,164.8,157.4,7.4,257.6,544,489.3,356.6,101.3,29.4,2,54.6
"Perak",2004,818.3,791,27.3,554,530.1,514.8,15.2,157.5,288.2,276.2,12.1,396.5,818.3,782,411.5,261.9,106.3,2.3,36.3
"Perlis",2004,76.3,73.8,2.5,56.8,49.1,47.6,1.5,14.7,27.2,26.2,1,42.1,76.3,74.5,62.4,8.2,1.4,2.5,1.8
"Sabah",2004,1156.9,1081.7,75.2,605.9,775.5,727.8,47.7,136.7,381.4,353.9,27.5,469.2,1156.9,821.1,643.6,123.5,13.7,40.3,335.8
"Sarawak",2004,955.2,918.6,36.6,442.8,601.9,579.6,22.3,109.6,353.2,339,14.3,333.3,955.2,899.8,644.9,251.2,1.2,2.6,55.4
"Selangor",2004,2028.1,1973.3,54.7,1017.3,1269.5,1234.3,35.3,285.8,758.5,739.1,19.5,731.6,2028.1,1869,988.9,600.5,261.9,17.8,159
"Terengganu",2004,347.9,336.9,11.1,234.3,226.8,220.9,5.9,72.6,121.1,116,5.1,161.8,347.9,333.7,321.6,11.2,0.5,0.4,14.2
"W.P Kuala Lumpur",2004,691.6,671.7,19.9,325.1,415.2,403.6,11.6,99.1,276.4,268.1,8.3,226,691.6,626.8,269.3,284.3,68.5,4.7,64.8
"W.P Labuan",2004,34,32.3,1.7,16.2,22.9,21.7,1.1,3.8,11.1,10.5,0.6,12.4,34,25.3,19.9,4.6,0.5,0.4,8.6
"Johor",2005,1280,1237.1,42.9,693.8,843.7,814.3,29.4,180.7,436.2,422.8,13.5,513.1,1280,1147.3,635.4,418.6,86.4,6.9,132.7
"Kedah",2005,677.8,652.8,25.1,445.6,430.7,415.4,15.3,120.8,247.1,237.4,9.8,324.8,677.8,654.3,485.8,106.4,50.1,12,23.5
"Kelantan",2005,454.2,438.8,15.4,384.3,295.2,286,9.2,120,159.1,152.8,6.2,264.3,454.2,437.7,408.6,22.9,0.3,5.8,16.6
"Malaysia",2005,10413.4,10045.4,368.1,6048.2,6700.9,6470.5,230.4,1677.1,3712.5,3574.8,137.7,4371.1,10413.4,9383.9,5908.5,2609.2,769.7,96.5,1029.6
"Melaka",2005,274.5,271.1,3.4,168.2,170.6,168.6,2,50.8,103.9,102.5,1.5,117.4,274.5,253.8,159.8,76.7,16,1.3,20.6
"N. Sembilan",2005,386.7,372.8,13.9,219.5,248.4,239.5,8.8,65.5,138.3,133.3,5,154,386.7,358.6,205,92.7,60,1,28
"P. Pinang",2005,634.9,621.5,13.4,345.3,390.3,382.9,7.4,92.3,244.6,238.6,6.1,253,634.9,584.1,244.5,275,62.8,1.8,50.9
"Pahang",2005,542.7,524.7,18,367.8,386.3,375.7,10.6,96.9,156.5,149,7.4,271,542.7,488.4,364.1,95.1,26.5,2.6,54.3
"Perak",2005,828.8,801.2,27.6,573.9,536.6,520.3,16.3,166.5,292.2,280.9,11.3,407.3,828.8,792.1,421,257.5,111.8,1.7,36.7
"Perlis",2005,76.2,74,2.2,59.6,48.8,47.3,1.5,16.1,27.4,26.7,0.7,43.4,76.2,74.3,62.4,8.5,1,2.4,2
"Sabah",2005,1181.9,1106.8,75.1,640.7,793.2,747.9,45.4,149.3,388.7,359,29.7,491.4,1181.9,828.9,657.6,125.5,11.3,34.6,352.9
"Sarawak",2005,950.3,910.9,39.4,480.2,602.2,576.5,25.7,126.7,348.1,334.4,13.7,353.5,950.3,894.5,644,246.6,2,1.8,55.9
"Selangor",2005,2048.8,1985.9,62.9,1063.6,1283.3,1242.4,40.9,306.4,765.5,743.5,21.9,757.3,2048.8,1883.8,1005.2,588.7,271.7,18.3,164.9
"Terengganu",2005,353.1,342,11.1,250.4,230.8,223.9,6.9,79.3,122.3,118.1,4.2,171.1,353.1,337.7,325.6,11.2,0.7,0.2,15.3
"W.P Kuala Lumpur",2005,691.4,675.2,16.1,336.8,417.9,407.7,10.2,101.9,273.5,267.6,5.9,234.9,691.4,624.4,270.5,279.3,68.8,5.8,66.9
"W.P Labuan",2005,32.2,30.5,1.6,18.6,22.9,22,0.9,4,9.3,8.5,0.8,14.6,32.2,23.9,18.9,4.5,0.3,0.2,8.3
"Johor",2006,1285.8,1258.1,27.6,726.7,850.1,832.4,17.7,192.8,435.7,425.7,10,534,1285.8,1153.6,641.2,421.8,85.7,4.8,132.2
"Kedah",2006,682.4,656.8,25.6,467.2,441,424.4,16.6,123.3,241.4,232.4,9,343.9,682.4,659.6,490.2,105.7,51.3,12.4,22.8
"Kelantan",2006,469.8,458.4,11.4,396.6,298.6,291.9,6.7,130.4,171.2,166.5,4.7,266.2,469.8,454.7,423.7,23.2,1.7,6,15.1
"Malaysia",2006,10628.9,10275.4,353.6,6205.1,6843.5,6618.6,224.9,1719.6,3785.4,3656.8,128.7,4485.5,10628.9,9594.1,6051.4,2656.5,790.4,95.8,1034.8
"Melaka",2006,276.7,273.1,3.5,173.7,171.8,169.7,2.2,53.1,104.8,103.5,1.3,120.6,276.7,256.9,165.1,75.1,15.6,1.1,19.8
"N. Sembilan",2006,394.5,378.7,15.7,224.6,252.3,243.3,9,68.4,142.2,135.5,6.7,156.2,394.5,367.3,208.3,97.1,60.4,1.4,27.2
"P. Pinang",2006,658.9,647.7,11.2,339.4,396.5,389.2,7.3,93.8,262.4,258.5,3.9,245.6,658.9,605.4,256.2,285.2,62.1,1.9,53.5
"Pahang",2006,571.3,557.4,13.9,363.3,404,394.9,9.2,92,167.2,162.5,4.7,271.3,571.3,514.9,382.8,99.8,29.6,2.7,56.3
"Perak",2006,845.5,815.9,29.6,583.1,552.3,534.5,17.8,164.1,293.2,281.3,11.8,419,845.5,809.4,429.6,264.6,113.1,2.2,36
"Perlis",2006,77,74.5,2.4,61.9,50.6,49,1.5,15.8,26.4,25.5,0.9,46.2,77,75.3,63.2,9,0.9,2.1,1.7
"Sabah",2006,1230.4,1160.2,70.3,651.7,817.7,770.7,47,155.5,412.7,389.5,23.3,496.3,1230.4,867.6,689.4,123.1,21.9,33.2,362.8
"Sarawak",2006,958,918.3,39.7,502.2,620.2,595.7,24.5,124.2,337.8,322.6,15.2,378.1,958,899.5,645.5,250.2,0.5,3.4,58.5
"Selangor",2006,2084.4,2017.7,66.8,1091.6,1302,1258.4,43.6,319.1,782.5,759.3,23.2,772.5,2084.4,1924.9,1031.2,600.6,276.3,16.8,159.5
"Terengganu",2006,364.6,351.5,13.1,261.7,240.2,232.3,7.9,82.3,124.4,119.3,5.2,179.4,364.6,347.8,334.2,12.1,0.9,0.6,16.8
"W.P Kuala Lumpur",2006,696.1,676.6,19.5,342.6,422.4,410.7,11.7,101.3,273.7,265.9,7.8,241.3,696.1,631.3,270.1,284.6,70,6.7,64.8
"W.P Labuan",2006,33.7,30.5,3.2,18.6,23.9,21.7,2.2,3.6,9.8,8.9,0.9,15,33.7,25.9,20.6,4.4,0.3,0.6,7.8
"Johor",2007,1313.6,1286.7,26.9,745.7,863.5,847.2,16.3,201.3,450.1,439.5,10.6,544.4,1313.6,1184.2,661.7,429.6,85.4,7.5,129.4
"Kedah",2007,693.1,670.4,22.7,481.6,443.6,430.4,13.2,134.8,249.5,240,9.5,346.8,693.1,669.7,500.5,104.8,51.3,13.1,23.4
"Kelantan",2007,486.2,473.1,13.2,410.3,311.7,304.6,7.1,132.6,174.5,168.5,6.1,277.7,486.2,469.4,438.3,23.5,1.6,5.9,16.9
"Malaysia",2007,10889.5,10538.1,351.4,6330.1,6963.5,6747.1,216.4,1794.4,3926,3791,135,4535.7,10889.5,9829.8,6237,2705.4,781.1,106.4,1059.7
"Melaka",2007,290.4,284.3,6.1,169.7,175.8,172.8,3,54.6,114.6,111.4,3.1,115.2,290.4,271.1,170.3,81.7,17.4,1.7,19.3
"N. Sembilan",2007,395.8,381.6,14.2,235.7,257.1,248.4,8.7,70.3,138.7,133.2,5.5,165.4,395.8,368.5,210.1,95,62.3,1.1,27.3
"P. Pinang",2007,667.6,653.5,14,348.6,399.1,390.8,8.2,99.9,268.5,262.7,5.8,248.7,667.6,613.5,261.8,288.6,60.6,2.5,54.1
"Pahang",2007,580.2,561.9,18.3,376.9,404,392.4,11.6,103.7,176.1,169.4,6.7,273.1,580.2,522.4,390.7,97.5,30.6,3.6,57.7
"Perak",2007,877.9,852.2,25.7,579,562.6,548.2,14.4,168.2,315.3,304,11.3,410.9,877.9,838.4,455.2,269.6,110.9,2.7,39.5
"Perlis",2007,82.5,80,2.5,59.4,52,50.7,1.2,16,30.5,29.3,1.2,43.4,82.5,80.8,68,9,1.1,2.6,1.7
"Sabah",2007,1267.7,1198.6,69.2,674.2,843.7,799.3,44.3,158.7,424,399.2,24.8,515.6,1267.7,890.9,708.2,126.5,18.9,37.3,376.9
"Sarawak",2007,997.4,954.1,43.4,494.3,629.3,601.6,27.7,131.8,368.1,352.5,15.6,362.5,997.4,938.6,681.4,253.5,2,1.7,58.9
"Selangor",2007,2128,2064.2,63.8,1116,1320.9,1279.4,41.5,332.4,807.1,784.8,22.2,783.6,2128,1964.4,1048.3,624.7,272.6,18.9,163.6
"Terengganu",2007,372.7,363,9.7,274.1,247.1,241.2,5.9,86.7,125.6,121.8,3.8,187.5,372.7,356.2,343.1,11.6,0.7,0.8,16.5
"W.P Kuala Lumpur",2007,702.4,682.1,20.3,344.8,429.7,417.1,12.5,98.9,272.7,265,7.7,245.9,702.4,636.7,279.6,284.9,65.5,6.7,65.7
"W.P Labuan",2007,34.1,32.6,1.5,19.6,23.5,22.8,0.7,4.6,10.6,9.8,0.8,14.9,34.1,25.2,19.9,4.8,0.2,0.3,8.9
"Johor",2008,1313.1,1283.8,29.3,790.3,878.9,859.4,19.6,208.1,434.1,424.4,9.7,582.2,1313.1,1183.1,651.8,434.1,89.5,7.6,130
"Kedah",2008,703,676,27,497.5,448.8,433,15.7,142.4,254.2,243,11.2,355.1,703,680.2,511.2,107.5,49.4,12.1,22.8
"Kelantan",2008,500.9,486.4,14.5,418.5,318.9,310.6,8.3,137.7,182,175.8,6.2,280.9,500.9,483.9,452.3,23.8,1.5,6.3,17
"Malaysia",2008,11028.1,10659.6,368.5,6575.7,7074.6,6851.1,223.5,1881.1,3953.5,3808.5,145,4694.6,11028.1,9967,6343.7,2722.6,796.9,103.8,1061.1
"Melaka",2008,290,286.8,3.2,179.3,179.5,178,1.5,55.7,110.5,108.8,1.7,123.6,290,270.1,169.9,81.7,17,1.5,19.9
"N. Sembilan",2008,399.3,387.1,12.2,244.4,261.9,254.1,7.7,72.6,137.4,132.9,4.5,171.8,399.3,372.4,215.2,94.8,61.2,1.3,26.9
"P. Pinang",2008,688.4,674.9,13.4,343.2,407.7,398.8,8.9,98,280.7,276.1,4.6,245.3,688.4,633.1,271,299.6,61.4,1.1,55.3
"Pahang",2008,605.7,589.8,15.8,374.3,415.4,407.1,8.4,104,190.2,182.8,7.5,270.3,605.7,546.7,409,103.5,29.8,4.4,59
"Perak",2008,892.6,858.9,33.6,589,572.3,553.7,18.6,170.8,320.3,305.2,15.1,418.1,892.6,851,462.3,271.2,114.4,3.1,41.6
"Perlis",2008,84,81.5,2.5,60.8,52.3,50.8,1.5,17.1,31.7,30.7,1,43.7,84,82,69,9.4,1.1,2.5,2
"Sabah",2008,1294.2,1230.5,63.8,711.3,861.2,822.2,39,174.5,433,408.3,24.7,536.8,1294.2,909,728.7,128,18.5,33.9,385.2
"Sarawak",2008,973,921.7,51.3,550.8,633.6,600,33.6,145,339.4,321.6,17.7,405.8,973,913.5,662.2,247.5,1.3,2.5,59.4
"Selangor",2008,2159.8,2092,67.8,1160.9,1336.8,1297.1,39.7,356.6,823,794.9,28.1,804.3,2159.8,2005.9,1089.3,615.9,279.1,21.6,153.9
"Terengganu",2008,388.8,375.5,13.2,280.3,256.6,249.3,7.3,88.4,132.2,126.3,5.9,191.9,388.8,371.7,358.6,11.6,0.6,0.8,17.1
"W.P Kuala Lumpur",2008,701,682.2,18.8,354,426.4,414,12.4,105.4,274.6,268.2,6.4,248.5,701,637.9,272,289.4,72,4.5,63.1
"W.P Labuan",2008,34.5,32.5,1.9,21.1,24.2,23,1.2,4.9,10.2,9.5,0.7,16.3,34.5,26.5,21.1,4.6,0.2,0.6,8
"Johor",2009,1350,1306.3,43.7,791.8,883,855.7,27.3,222.1,467,450.6,16.4,569.8,1350,1217.5,682,438.5,92.1,4.9,132.5
"Kedah",2009,732.6,701.5,31.1,496,468,450,18,138.3,264.6,251.5,13.1,357.8,732.6,708,531.5,114.2,49.7,12.6,24.5
"Kelantan",2009,517.8,505.2,12.6,432.7,329.5,322.3,7.2,142.7,188.3,182.9,5.4,290,517.8,500.9,469.7,23.9,1.7,5.6,16.9
"Malaysia",2009,11315.3,10897.3,418,6665.7,7218.1,6955.7,262.4,1926.9,4097.2,3941.6,155.6,4738.8,11315.3,10231.6,6545.4,2774.4,810.6,101.1,1083.7
"Melaka",2009,290.9,284,6.9,186.3,180.9,176.3,4.6,58.3,109.9,107.6,2.3,128,290.9,271,174.5,78.7,16.4,1.5,19.8
"N. Sembilan",2009,402.2,386.5,15.7,254,261.8,251.3,10.5,78.8,140.4,135.2,5.2,175.2,402.2,374.4,216.8,95.1,60.8,1.6,27.8
"P. Pinang",2009,707.1,689.8,17.3,344.3,411.5,400.5,11,103.2,295.7,289.3,6.4,241.1,707.1,647.4,277.8,303.6,64.2,1.8,59.7
"Pahang",2009,622.3,603.7,18.6,377.8,424.7,413.5,11.2,105,197.6,190.2,7.4,272.9,622.3,561.9,422,106.6,30.1,3.1,60.4
"Perak",2009,923.7,891.6,32.2,583.4,584.9,568,16.9,172.5,338.8,323.5,15.3,410.9,923.7,883.1,479.7,284.1,117.1,2.3,40.6
"Perlis",2009,84.3,81.5,2.8,63,53.9,52.3,1.7,16.7,30.4,29.2,1.1,46.3,84.3,82.6,69.9,9.2,1.2,2.4,1.8
"Sabah",2009,1345.3,1270.6,74.6,721.8,890.9,840.3,50.6,175.6,454.3,430.3,24,546.2,1345.3,954.1,758.5,131,27.9,36.8,391.2
"Sarawak",2009,1024.2,977.5,46.8,529.9,651.9,622.9,29,142.3,372.4,354.6,17.8,387.6,1024.2,964.6,699,261.5,2.4,1.7,59.6
"Selangor",2009,2173.3,2095.3,78,1213.7,1354.4,1303.2,51.2,370.9,818.9,792.1,26.8,842.8,2173.3,2013.6,1082,634.7,276.8,20,159.7
"Terengganu",2009,405.6,390.3,15.3,284.7,267.5,258.6,8.9,88.8,138.1,131.7,6.4,195.9,405.6,387.9,374.8,12,0.6,0.4,17.8
"W.P Kuala Lumpur",2009,698.3,678.1,20.2,366.6,429.7,416.7,13,107.4,268.6,261.4,7.2,259.2,698.3,636.1,284.8,276.4,69.2,5.7,62.2
"W.P Labuan",2009,37.6,35.5,2.1,19.6,25.5,24.1,1.4,4.4,12.1,11.4,0.7,15.1,37.6,28.5,22.5,4.9,0.4,0.7,9.1
"Johor",2010,1453.5,1418.8,34.7,819,996.3,971.7,24.6,217.6,457.2,447.1,10.2,601.3,1453.5,1252.9,726.4,432.8,89.8,3.9,200.6
"Kedah",2010,746.9,725.7,21.2,508.9,490.6,477.5,13.1,144.3,256.3,248.2,8.1,364.6,746.9,694.7,529.5,103.7,53.7,7.7,52.2
"Kelantan",2010,547.2,534.2,13.1,412.1,347.2,339.1,8.1,132.8,200,195.1,4.9,279.3,547.2,517.4,490,22.3,1.5,3.6,29.8
"Malaysia",2010,12303.9,11899.5,404.4,7023,7955.5,7707.8,247.7,2071.7,4348.4,4191.7,156.8,4951.2,12303.9,10587.5,6888.3,2824.9,798.9,75.5,1716.4
"Melaka",2010,338.6,335.1,3.5,216.1,211,209.1,1.9,67.4,127.6,126,1.6,148.8,338.6,310,206.2,83.9,19.2,0.8,28.6
"N. Sembilan",2010,418.3,405.4,12.9,274.9,274.7,267.1,7.6,84.8,143.7,138.3,5.4,190.1,418.3,372.1,223.5,90.8,56.9,0.8,46.2
"P. Pinang",2010,759,742.3,16.7,352.3,448.8,439.4,9.3,110.3,310.2,302.9,7.3,242,759,675.7,282.2,323.1,68.6,1.8,83.3
"Pahang",2010,608.4,591,17.5,368.6,414.1,405.4,8.7,110.8,194.4,185.6,8.8,257.9,608.4,544.4,418.5,98.5,25.4,2,64
"Perak",2010,906,878.7,27.3,642.3,601.7,585.4,16.2,189.1,304.3,293.3,11.1,453.1,906,848.4,479.6,258.9,107.6,2.3,57.6
"Perlis",2010,83.6,80.9,2.8,72.6,55.7,53.8,1.9,20.4,27.9,27.1,0.8,52.2,83.6,79.2,69.1,7.3,1.1,1.7,4.4
"Sabah",2010,1480.7,1398.6,82.1,765.5,1003,944.4,58.6,178.3,477.7,454.2,23.5,587.1,1480.7,915.1,736,139.6,5.8,33.7,565.6
"Sarawak",2010,1093.7,1045.6,48.1,534.8,707.2,678.5,28.7,148.3,386.5,367.1,19.4,386.5,1093.7,982.1,730.8,247.8,1.5,2.1,111.6
"Selangor",2010,2634.4,2551.1,83.2,1349.7,1640.2,1597.1,43.1,439.6,994.2,954.1,40.2,910.1,2634.4,2276.6,1291.1,682.4,294,9.1,357.8
"Terengganu",2010,380.6,366.6,14.1,272.1,251.3,242.3,9,83.3,129.3,124.2,5,188.8,380.6,364.4,351.5,11.6,0.9,0.4,16.2
"W.P Kuala Lumpur",2010,812.9,788,24.9,414.3,487.6,472.5,15.1,140.1,325.3,315.6,9.7,274.2,812.9,719.2,324.2,317.3,72.7,5,93.7
"W.P Labuan",2010,40,37.6,2.4,19.7,26.2,24.5,1.7,4.6,13.8,13.1,0.7,15.1,40,35.3,29.6,4.9,0.3,0.5,4.7
"Johor",2011,1499.9,1461.9,38,816.3,1013.5,987.9,25.5,222.5,486.4,474,12.4,593.9,1499.9,1296.2,746.8,452.8,93.2,3.5,203.6
"Kedah",2011,770,743.4,26.6,512,502.5,485.8,16.7,146.8,267.4,257.5,9.9,365.3,770,711,546.2,104,52.5,8.4,58.9
"Kelantan",2011,555.4,544.6,10.8,431.7,350.1,342.8,7.3,143.2,205.4,201.8,3.5,288.5,555.4,524.8,495.3,24.4,1.8,3.2,30.7
"Malaysia",2011,12740.7,12351.5,389.2,7023.3,8172.4,7934.8,237.6,2079.7,4568.3,4416.7,151.6,4943.6,12740.7,10949,7111.9,2928.4,831.1,77.6,1791.7
"Melaka",2011,343.3,340.8,2.5,222.8,209.9,208.7,1.1,74,133.4,132.1,1.3,148.8,343.3,314.9,205.7,89.2,18.9,1,28.4
"N. Sembilan",2011,429.1,416.1,13,280.9,277.6,269.3,8.2,90.3,151.6,146.7,4.8,190.5,429.1,383.3,230.7,92.2,59.5,0.8,45.9
"P. Pinang",2011,787.5,772.8,14.7,348.8,461.7,454.1,7.6,108.3,325.8,318.7,7.1,240.4,787.5,699.2,296,332.5,69,1.7,88.2
"Pahang",2011,624.6,608.4,16.2,377.7,430.6,421.4,9.2,108.6,194.1,187,7.1,269.1,624.6,558.2,433.9,96.6,25.6,2.1,66.4
"Perak",2011,944.6,919.7,24.9,631.2,614.7,602.6,12.1,190.4,329.9,317.2,12.8,440.8,944.6,880.8,501.6,263.9,112.9,2.4,63.8
"Perlis",2011,86.8,83.3,3.4,71.7,57.8,55.6,2.2,19.8,29,27.7,1.3,51.8,86.8,82.7,72.4,7.4,1.2,1.8,4.1
"Sabah",2011,1562.5,1474.4,88.1,764.9,1052.8,994.5,58.4,172.5,509.7,479.9,29.7,592.4,1562.5,977.7,785.9,147.7,11.5,32.5,584.8
"Sarawak",2011,1103.4,1058.1,45.3,566.1,719,690.8,28.3,156.9,384.3,367.3,17,409.2,1103.4,991.3,730.3,256.2,3.5,1.2,112.1
"Selangor",2011,2710.8,2645.2,65.5,1295,1679.2,1642.4,36.8,414.9,1031.5,1002.8,28.7,880.1,2710.8,2334.6,1294.1,721.5,306.2,12.9,376.1
"Terengganu",2011,403.2,390.3,12.9,269.3,261.7,253.4,8.2,83.7,141.5,136.8,4.7,185.6,403.2,385.6,373.4,11.5,0.5,0.2,17.6
"W.P Kuala Lumpur",2011,837.6,812.5,25.1,405.4,495.4,480.6,14.7,139.7,342.2,331.9,10.3,265.8,837.6,732.7,330,323.5,74.1,5,104.9
"W.P Labuan",2011,40.3,38.6,1.7,20.5,26.3,25.2,1.1,5,14.1,13.4,0.6,15.5,40.3,35.9,30.2,4.9,0.1,0.8,4.4
"W.P Putrajaya",2011,41.9,41.4,0.5,9.2,19.9,19.7,0.3,3.2,21.9,21.8,0.2,6,41.9,40.1,39.3,0.2,0.5,0,1.8
"Johor",2012,1529.4,1481.5,47.9,821.9,1035.2,1002.3,32.9,220.9,494.2,479.2,15,601,1529.4,1320.5,761.7,459.7,95.7,3.5,208.9
"Kedah",2012,810.3,786.9,23.4,502,521.1,507.6,13.5,144.4,289.2,279.3,9.9,357.5,810.3,754.2,582.7,110,53.8,7.7,56.1
"Kelantan",2012,592.3,578.7,13.6,424.8,367.2,359.4,7.7,141.9,225.1,219.3,5.8,283,592.3,560.4,531.6,23.6,1.7,3.5,31.8
"Malaysia",2012,13221.7,12820.5,401.2,6927.4,8419,8169.5,249.6,2036.7,4802.6,4651,151.6,4890.7,13221.7,11361.6,7435,2985.1,856.6,84.9,1860.1
"Melaka",2012,358.8,357,1.8,218.6,219.4,218.8,0.6,72,139.4,138.2,1.2,146.5,358.8,326.7,216.3,89.7,19.8,0.8,32.2
"N. Sembilan",2012,455.7,442.1,13.6,264.5,290.5,282.1,8.4,85.2,165.2,160,5.2,179.3,455.7,399,241.9,96.7,59.8,0.7,56.7
"P. Pinang",2012,795.8,779.8,16,358.8,469.5,461,8.5,109.5,326.3,318.8,7.5,249.3,795.8,702,303.4,326.1,70.5,2,93.8
"Pahang",2012,650.9,633.1,17.8,371.5,444.2,435.2,9,106.7,206.7,197.8,8.9,264.8,650.9,581.6,453.3,98.1,27.9,2.4,69.3
"Perak",2012,955.4,927.1,28.3,647.1,621.1,605.2,15.8,196.2,334.3,321.9,12.4,450.9,955.4,889.3,500,273.5,113.5,2.3,66.1
"Perlis",2012,90.6,87.1,3.5,69.4,58.8,56.4,2.4,20.2,31.9,30.8,1.1,49.2,90.6,86.2,75.8,7.5,1.2,1.8,4.4
"Sabah",2012,1627.9,1537.4,90.5,780.4,1084.4,1024.3,60.1,183.2,543.6,513.1,30.4,597.2,1627.9,1022.3,831.1,144.9,11.1,35.1,605.6
"Sarawak",2012,1184.9,1143.9,41,523,750.6,724.6,26,145.7,434.3,419.3,15,377.3,1184.9,1070.5,794.6,271.4,2.4,2,114.5
"Selangor",2012,2842.6,2776.1,66.6,1226.1,1742.5,1701,41.5,384.7,1100.1,1075.1,25.1,841.4,2842.6,2457.1,1373,742,325.6,16.5,385.6
"Terengganu",2012,401.8,389.6,12.2,284.9,263.2,255.4,7.9,88.3,138.6,134.2,4.4,196.6,401.8,384.2,371.9,11,1.1,0.2,17.6
"W.P Kuala Lumpur",2012,842.9,820.4,22.5,404.2,505.1,491.5,13.6,129.8,337.7,328.8,8.9,274.4,842.9,732,328.7,325.8,71.8,5.8,110.9
"W.P Labuan",2012,41.3,39.4,1.9,20.5,27,25.7,1.3,4.4,14.3,13.8,0.5,16.1,41.3,36.6,30.9,4.8,0.3,0.6,4.7
"W.P Putrajaya",2012,40.9,40.3,0.6,9.7,19.3,19,0.3,3.6,21.6,21.3,0.3,6.1,40.9,39,38.3,0.2,0.5,0,1.9
"Johor",2013,1598.9,1553.4,45.4,771.3,1036.7,1010.1,26.7,224.8,562.1,543.3,18.8,546.5,1598.9,1399.6,813.1,483.5,98.8,4.2,199.2
"Kedah",2013,862.8,842.3,20.5,489.9,539.2,529.3,9.9,149.6,323.6,313.1,10.5,340.3,862.8,792.5,617.8,108,58,8.6,70.3
"Kelantan",2013,619.8,602.7,17.1,424.8,379.2,369.8,9.4,143.3,240.6,232.9,7.7,281.6,619.8,588.2,558.7,23.9,1.7,3.9,31.6
"Malaysia",2013,13980.5,13545.4,435.1,6781.2,8739.4,8484.6,254.8,2056.3,5241.1,5060.8,180.3,4724.9,13980.5,11821.6,7781.8,3075.8,873.3,90.7,2158.9
"Melaka",2013,378.3,375.5,2.7,208.3,224.7,223.7,1,71.7,153.5,151.8,1.7,136.6,378.3,343.2,227.6,93.2,21.2,1.2,35.1
"N. Sembilan",2013,478.9,464.1,14.7,255.1,300.1,291.6,8.5,84.4,178.7,172.5,6.2,170.7,478.9,412,254.1,97.2,60,0.8,66.8
"P. Pinang",2013,826.1,811.9,14.2,363.7,485.9,478.4,7.5,112,340.2,333.5,6.7,251.7,826.1,716.6,308.7,335.3,70.9,1.6,109.6
"Pahang",2013,678.9,659.8,19.1,361.8,453.6,443.3,10.4,109.3,225.2,216.5,8.8,252.5,678.9,601.1,473.1,98.2,27.6,2.3,77.8
"Perak",2013,985.2,947.8,37.3,642.6,643.9,621.8,22.1,189.6,341.3,326,15.2,453,985.2,910.7,511.4,283.3,113.8,2.2,74.4
"Perlis",2013,97.9,94.3,3.6,64.1,62.1,59.8,2.3,18.4,35.9,34.6,1.3,45.7,97.9,93.6,82.4,8,1.2,2,4.4
"Sabah",2013,1801.7,1706,95.7,767.4,1172.1,1112.2,59.8,184.2,629.6,593.8,35.9,583.2,1801.7,1089.7,883.8,156.5,9.1,40.2,712
"Sarawak",2013,1234.2,1188.5,45.7,542.5,786.2,759.4,26.8,152.8,448,429.1,18.9,389.6,1234.2,1084.8,807.8,272.4,2.6,2.1,149.4
"Selangor",2013,3006.2,2933.3,72.9,1226.3,1813.8,1769.7,44.2,403.9,1192.4,1163.7,28.7,822.5,3006.2,2531.4,1434.8,752.2,328.7,15.6,474.9
"Terengganu",2013,421.3,407,14.4,280.4,270.4,261,9.4,87.4,150.9,146,4.9,193,421.3,402.8,390,11.8,0.7,0.4,18.5
"W.P Kuala Lumpur",2013,907.3,877.8,29.5,353.2,525.3,509.9,15.4,117.1,382,367.9,14.1,236.1,907.3,779,348.2,347.5,78.2,5,128.3
"W.P Labuan",2013,41.8,40.1,1.7,20.6,27.1,25.9,1.2,4.5,14.8,14.2,0.5,16.1,41.8,37.3,31.6,4.8,0.3,0.6,4.5
"W.P Putrajaya",2013,41.2,40.7,0.5,9.2,19,18.8,0.2,3.4,22.2,21.9,0.3,5.8,41.2,39.1,38.6,0,0.4,0,2.1
"Johor",2014,1621.1,1579.7,41.4,778.8,1051.4,1024.9,26.5,224.1,569.7,554.8,14.9,554.7,1621.1,1416.5,821.6,490.2,100.8,3.8,204.7
"Kedah",2014,884.1,859.8,24.3,493.5,540.9,528.2,12.7,160.2,343.2,331.6,11.5,333.2,884.1,818.7,636.6,114.4,59.3,8.4,65.4
