"ConState","Year","TotInsLabour","InsLabEmp","InsLabUnemp","TotOutLabour","TotInsLabourM","InsLabEmpM","InsLabUnempM","TotOutLabourM","TotInsLabourF","InsLabEmpF","InsLabUnempF","TotOutLabourF","AllTotalWorkForce","SubTotWorkForce","BumiWorkForce","ChineseWorkForce","IndianWorkForce","OtherWorkForce","SubTotForeignWorkForce"
"N. Sembilan",1985,221.1,210.8,10.3,135.2,139.9,133.3,6.6,33.6,81.2,77.5,3.7,101.6,221.1,219.5,93.1,78.5,45.9,2,1.6
"P. Pinang",1985,408.5,388.1,20.4,258.4,273.415,259.932,13.483,52.669,135.1,128.2,7,205.8,408.5,404,131.9,223.1,47.6,1.5,4.5
"Pahang",1985,342.7,327.8,14.8,166.5,236.5,227.8,8.7,28.8,106.2,100.1,6.1,137.7,342.7,329.9,211.3,91.8,26.2,0.6,12.8
"Perak",1985,713.1,669.6,43.5,390.9,450.7,423.4,27.3,83.3,262.4,246.2,16.2,307.6,713.1,703.6,321.7,283.4,97.5,1,9.5
"Perlis",1985,65.5,60.5,4.9,33.8,44.7,43,1.7,6.1,20.8,17.6,3.2,27.6,65.5,64.5,50.1,11.4,1.9,1,1
"Sabah",1985,431,403.4,27.7,199.5,301.3,283,18.3,32.6,129.7,120.3,9.3,166.9,431,318.5,209.8,73,2.1,33.7,112.5
"Sarawak",1985,632.7,587.5,45.2,214.1,380.9,359.6,21.4,40.4,251.8,228,23.8,173.8,632.7,625.2,438.5,180.8,3.4,2.4,7.6
"Selangor",1985,740.6,706.1,34.5,393.1,489.9,468.1,21.9,80.2,250.7,238,12.6,312.8,740.6,729,328.1,264.6,116.9,19.4,11.6
"Terengganu",1985,228.9,212.4,16.4,128.1,151.5,142.9,8.6,25.9,77.4,69.6,7.8,102.2,228.9,223.9,210.2,12.8,0.8,0,5
"W.P Kuala Lumpur",1985,509.7,491.7,18,247.3,337.6,326.3,11.3,58.9,172.1,165.4,6.6,188.4,509.7,496.2,158,270.5,66.3,1.5,13.5
"W.P Labuan",1985,16.3,15,1.3,8.6,12.9,12.1,0.8,1.1,3.4,3,0.4,7.5,16.3,12.3,7.8,3.4,0.2,0.9,4
"Johor",1986,751.2,700.4,50.8,367.8,487.6,458.8,28.8,72.6,263.6,241.6,22,295.2,751.2,729.3,317,284.7,61,66.6,22
"Kedah",1986,455,418,37.1,296.2,301.2,281.1,20.1,60.4,153.8,136.8,16.9,235.8,455,451.6,321.1,89.1,36.1,5.2,3.4
"Kelantan",1986,365.1,340.2,24.9,221.2,228.3,212.3,16,58.5,136.8,127.9,8.9,162.7,365.1,353.6,318.8,23.3,4.5,7,11.5
"Malaysia",1986,6222.1,5760.1,461.9,3188.3,4037.7,3753.5,284.2,666,2184.3,2006.6,177.7,2522.3,6222.1,6010.4,3308.7,2037.3,529,135.5,211.7
"Melaka",1986,187.7,169.8,17.9,113.1,115.587,104.829,10.758,26.989,72.07,64.975,7.095,86.122,187.7,184.8,95.3,70.3,18.1,1.2,2.9
"N. Sembilan",1986,229.5,213.5,16,134,148.2,137.8,10.4,32,81.2,75.7,5.6,101.9,229.5,226.9,103.8,74.9,47.3,0.9,2.6
"P. Pinang",1986,427.2,391.4,35.8,255.3,284.69,260.205,24.485,50.7,142.5,131.2,11.3,204.6,427.2,423.6,134.2,239.8,47.9,1.7,3.6
"Pahang",1986,331.6,315.4,16.2,165.3,227.7,217.5,10.2,29.4,103.9,97.9,6,135.8,331.6,323.5,204.8,92,26.4,0.3,8.1
"Perak",1986,734.2,669.9,64.2,390.8,463.3,421.1,42.2,84.6,270.9,248.8,22.1,306.2,734.2,725.5,329.1,290.4,101.1,4.8,8.6
"Perlis",1986,62.6,57.6,5,37.3,42.1,39.8,2.3,6.9,20.5,17.8,2.7,30.5,62.6,61.9,47.2,11.5,1.7,1.5,0.7
"Sabah",1986,441.6,405.5,36.1,214.4,314.6,288.2,26.5,32.6,126.9,117.3,9.6,181.8,441.6,342.4,231.5,72.8,1.8,36.4,99.1
"Sarawak",1986,674.8,614.3,60.4,205.7,399.3,370.7,28.6,39,275.4,243.6,31.8,166.7,674.8,667,465.7,193.6,3.4,4.3,7.7
"Selangor",1986,823.7,777.1,46.7,411.3,543.5,512.2,31.3,86.9,280.2,264.8,15.4,324.4,823.7,802.1,365.4,311.7,121.6,3.4,21.6
"Terengganu",1986,241.4,218.4,23,124.7,155.1,141.3,13.8,27,86.3,77.1,9.2,97.7,241.4,235.5,221.8,12.3,1,0.4,5.9
"W.P Kuala Lumpur",1986,481.3,455,26.3,243.5,314.8,297.1,17.8,57.5,166.5,158,8.5,186,481.3,471.1,145.7,267.3,57,1,10.2
"W.P Labuan",1986,15.3,13.6,1.7,7.8,11.6,10.5,1.1,1.1,3.6,3.1,0.5,6.7,15.3,11.8,7.2,3.6,0.2,0.7,3.5
"Johor",1987,781.8,732.7,49.1,380.1,506.4,478.2,28.2,77.3,275.5,254.6,20.9,302.7,781.8,754.9,379.8,280.1,51.2,43.8,27
"Kedah",1987,456.5,420.1,36.4,291.3,302.5,282.1,20.4,64.1,154,138,16,227.1,456.5,453.6,323.1,85.1,37.7,7.8,2.9
"Kelantan",1987,375,350.5,24.5,217.8,230.2,214.1,16.1,55.5,144.8,136.4,8.4,162.3,375,364.1,326.1,26.9,1.3,9.8,10.8
"Malaysia",1987,6456.8,5983.9,472.9,3246.1,4151.3,3868,283.3,697.3,2305.5,2115.9,189.6,2548.9,6456.8,6235.7,3475.4,2103,542.4,115,221.1
"Melaka",1987,192.1,176.7,15.4,117,119.279,110.247,9.032,26.947,72.834,66.471,6.363,90.098,192.1,190.5,99.7,75.1,15,0.7,1.6
"N. Sembilan",1987,240,221.7,18.3,142.2,155.3,144.3,11,31.4,84.7,77.5,7.3,110.8,240,238.2,126,72.7,38.9,0.6,1.8
"P. Pinang",1987,432.8,404.8,28,268.3,283.835,263.379,20.456,61.842,149,141.5,7.6,206.4,432.8,430.6,139.9,239.7,50.3,0.7,2.2
"Pahang",1987,354.1,335.9,18.2,172.8,239.3,228.9,10.5,32.6,114.7,107,7.7,140.2,354.1,343.5,228.2,92.3,22.9,0.1,10.5
"Perak",1987,728.8,670.5,58.3,383,457.4,417.9,39.5,83.2,271.3,252.6,18.8,299.7,728.8,719.4,308,302.7,107.4,1.2,9.4
"Perlis",1987,64.9,60.6,4.3,41.2,46,43.3,2.8,7.5,18.8,17.3,1.5,33.8,64.9,63.9,52.1,9.6,1.7,0.5,1
"Sabah",1987,466.5,424.3,42.2,215,324.6,300.1,24.5,35.5,141.9,124.2,17.7,179.5,466.5,363.5,242.9,77.8,2,40.7,103
"Sarawak",1987,712.2,642,70.1,198.9,420,391.8,28.2,34.2,292.2,250.2,42,164.8,712.2,707.7,490.3,205.8,5.7,5.9,4.5
"Selangor",1987,916.6,865,51.6,454.4,595.6,558.7,37,103,321,306.3,14.6,351.5,916.6,891.4,384.8,352.9,152.7,1.1,25.2
"Terengganu",1987,236.5,208.9,27.6,117.1,151.4,136,15.4,24.4,85.1,73,12.1,92.6,236.5,229.7,216.8,11.5,0.7,0.6,6.8
"W.P Kuala Lumpur",1987,485.5,457.9,27.6,239.6,309,289.6,19.4,58.8,176.5,168.2,8.2,180.9,485.5,474.5,151.3,267.9,54.6,0.6,11
"W.P Labuan",1987,13.6,12.3,1.3,7.4,10.5,9.4,1,0.9,3.2,2.9,0.3,6.5,13.6,10.2,6.4,2.8,0.3,0.8,3.4
"Johor",1988,837,792,45.1,396.5,548.8,521.7,27.1,79,288.2,270.2,18,317.5,837,796.1,401.9,293,46,55.1,40.9
"Kedah",1988,496.1,459.3,36.9,295.8,317.7,298,19.7,60,178.4,161.3,17.1,235.8,496.1,491.2,359.3,87.8,38.1,6.1,4.9
"Kelantan",1988,393.9,363.4,30.5,191.2,236.7,216.8,20,50.9,157.2,146.7,10.6,140.3,393.9,382.4,342.7,27.7,1,11,11.6
"Malaysia",1988,6637,6157.2,479.8,3301.5,4268.7,3984,284.7,700.6,2368.4,2173.2,195.1,2600.9,6637,6389.8,3562.2,2135.1,564.2,128.3,247.2
"Melaka",1988,190.9,175.4,15.5,115.4,119.607,109.775,9.832,27.868,71.312,65.619,5.693,87.516,190.9,186.9,85,80.6,19.3,1.9,4
"N. Sembilan",1988,242.5,228,14.5,126.3,157,148.3,8.7,28.4,85.5,79.7,5.8,97.9,242.5,240.4,117.3,79.9,42.1,1.1,2
"P. Pinang",1988,427.8,398.9,28.9,260.6,283.271,264.201,19.07,60.935,144.5,134.7,9.8,199.7,427.8,424.2,134.1,241.7,45.6,2.9,3.6
"Pahang",1988,374.8,351.5,23.4,186,255.9,241.6,14.2,31.4,119,109.8,9.1,154.5,374.8,362.8,242.2,96.4,23.7,0.5,12
"Perak",1988,715,656.7,58.3,399.2,454.3,417.4,36.8,85.5,260.7,239.3,21.4,313.7,715,706.6,311.7,300.4,93.9,0.5,8.4
"Perlis",1988,70.9,65.5,5.4,49.9,51.2,48,3.2,7.1,19.7,17.5,2.2,42.8,70.9,70.8,59.8,8.5,2.4,0.1,0.1
"Sabah",1988,462.6,424.6,37.9,241.8,331,305.2,25.8,40.7,131.6,119.4,12.2,201.1,462.6,362.7,243.6,77.6,2.6,39,99.8
"Sarawak",1988,710.3,637.1,73.2,201.4,415,385.9,29,38.3,295.4,251.2,44.2,163.1,710.3,700.6,484.5,204.5,5.6,6.1,9.7
"Selangor",1988,949,893.1,55.9,474.9,614.1,575.7,38.4,103.3,334.9,317.4,17.5,371.6,949,928.9,390.2,348.5,187.8,2.3,20.1
"Terengganu",1988,253.6,229.8,23.8,112.5,157.4,146.2,11.2,27.9,96.3,83.7,12.6,84.5,253.6,241.3,224.7,15.8,0.8,0,12.3
"W.P Kuala Lumpur",1988,498.7,469.6,29.2,242.2,316.2,295.6,20.5,58.1,182.6,173.9,8.6,184.1,498.7,483.9,158.1,269.6,55.1,1,14.8
"W.P Labuan",1988,13.8,12.3,1.5,7.9,10.7,9.6,1.1,1.1,3.1,2.7,0.4,6.8,13.8,10.9,7.1,2.9,0.2,0.7,2.9
"Johor",1989,861.8,822.3,39.5,439.4,567.6,542.8,24.9,86.8,294.1,279.5,14.6,352.5,861.8,827.6,367.3,336.8,55.1,68.4,34.2
"Kedah",1989,470,443.3,26.8,288.7,310.9,295.3,15.6,64.6,159.2,148,11.2,224.1,470,467.8,337.7,87.6,35,7.5,2.3
"Kelantan",1989,388.3,363.8,24.5,223.5,240,223.8,16.2,58.4,148.3,140,8.3,165.1,388.3,378.4,344.1,27.1,2.3,4.9,10
"Malaysia",1989,6779.4,6390.9,388.5,3463.5,4389.1,4155.3,233.7,737.5,2390.3,2235.5,154.8,2726,6779.4,6540.3,3640.3,2171.4,578.5,150.1,239
"Melaka",1989,197.8,185.9,11.9,113,120.136,113.674,6.462,24.459,77.63,72.197,5.433,88.528,197.8,195.1,96.7,76.3,19.4,2.7,2.6
