"ConState","Year","AllTotalEdu","NonEduc","Primary","Secondary","Tertiary","AllTotalCert","UPSRAEquiv","PMRSRPLCEEquiv","SPMEquiv","STPMEquiv","Certificate","Diploma","Degree","ReligCert","NoCert","NoRelevant"
"Kelantan",1988,393.9,89.2,127.4,142.2,35,393.9,0,32.6,61.7,5.6,0,9.6,6,0.8,189.2,88.4
"Melaka",1988,190.9,13.6,71.4,89.3,16.6,190.9,0,19.6,38.1,4.9,0,6.5,3.9,0,104.3,13.6
"N. Sembilan",1988,242.5,13.4,99.3,113.7,16.1,242.5,0,17.6,39.9,3.8,0,6.6,4.2,0,157.1,13.4
"P. Pinang",1988,427.8,16.9,138.3,234.3,38.3,427.8,0,46,91.8,11.4,0,12.9,9.5,0,239.2,16.9
"Pahang",1988,374.8,32.6,166.9,154.9,20.4,374.8,0,31.5,66.5,3.1,0,8.2,2.9,0.6,230,32
"Perak",1988,715,62.8,296.2,309.4,46.4,715,0,78.4,95.1,7.7,0,23.4,8.6,0.9,439,62
"Perlis",1988,70.9,7.3,27.2,32.1,4.3,70.9,0,7.2,16.3,0.4,0,1.1,1.6,0.9,36.9,6.5
"Sabah",1988,462.6,96.5,171.8,178.5,15.8,462.6,0,53.1,48.5,4.5,0,4.3,6.5,0.1,249.2,96.4
"Sarawak",1988,710.3,168.1,233.4,276.1,32.8,710.3,0,72,67.3,5.5,0,13.6,11.3,0.3,372.5,167.9
"Selangor",1988,949,47.6,291.7,483.9,125.7,949,0,77,230.6,30.3,0,32.3,53,0.7,478.1,46.8
"Terengganu",1988,253.6,44.6,91.2,95.9,21.8,253.6,0,20.9,45.2,5.7,0,8.5,4.5,1.3,124.2,43.3
"W.P Kuala Lumpur",1988,498.7,15.1,127.2,291.8,64.7,498.7,0,49.6,141.7,22.5,0,13.1,24.3,0.4,232.5,14.7
"W.P Labuan",1988,13.8,1.2,4.4,7.5,0.7,13.8,0,2,2.7,0.2,0,0.2,0.3,0,7.3,1.2
"Johor",1989,861.8,60.6,342.7,399,59.4,861.8,0,77.1,158.8,17.5,0,26.7,12.7,0.1,508.3,60.5
"Kedah",1989,470,60.7,184.8,193.5,31.1,470,0,34.7,82.9,8.2,0,12.3,5.7,0.5,265.5,60.2
"Kelantan",1989,388.3,83.4,119.9,149,36,388.3,0,35.6,73.4,7.7,0,11.9,5.5,0.2,170.8,83.1
"Melaka",1989,197.8,10.6,71.2,98.7,17.2,197.8,0,18.1,43.9,4.1,0,7.3,4.2,0,109.7,10.6
"N. Sembilan",1989,241,13.4,94.6,118.9,14.2,241,0,25.4,38.7,3.8,0,5.8,3.5,0,150.4,13.4
"P. Pinang",1989,453.9,19.2,142.7,253.2,38.7,453.9,0,39.5,102.6,16.6,0,8.1,10.6,0.2,257.3,19
"Pahang",1989,393.8,32.7,160.4,174.1,26.7,393.8,0,38.6,75.1,5.7,0,12.6,5.9,0.4,223.2,32.3
"Perak",1989,726.5,60.3,297.9,320.3,48,726.5,0,69.3,101.7,12,0,21.5,9,0.6,452.7,59.6
"Perlis",1989,70.9,7,24.2,33.9,5.8,70.9,0,6.1,17.3,1.1,0,2.3,1.1,0.3,36.1,6.7
"Sabah",1989,477.5,96.4,182.7,183.6,14.8,477.5,0,51.6,47.1,3.8,0,6.3,5.3,0.1,266.9,96.3
"Sarawak",1989,760,181.1,241.5,298.4,39,760,0,71.5,80.8,5.8,0,16.7,12.2,0.3,391.9,180.9
"Selangor",1989,936.8,45.1,254.9,503.4,133.4,936.8,0,83.9,256.3,37.6,0,39.5,48.2,0.9,426.4,43.8
"Terengganu",1989,262.1,43.2,88.5,109.4,21,262.1,0,19.5,50.9,5.8,0,7.9,4.5,0.4,130.3,42.8
"W.P Kuala Lumpur",1989,524.3,14.9,125.6,310.4,73.4,524.3,0,52.5,157.5,25,0,17.5,27.1,0.2,229.8,14.8
"W.P Labuan",1989,14.7,1.6,4.3,8.1,0.7,14.7,0,2.1,2.8,0.2,0,0.2,0.3,0,7.5,1.6
"Johor",1990,949.1,56.3,372.2,450.2,70.4,949.1,0,82,186.9,20.9,0,30,12.9,0.3,560.1,56
"Kedah",1990,489.3,50,186.7,213.7,38.8,489.3,0,38.8,93.9,7.7,0,14.2,7.8,0.2,276.8,49.9
"Kelantan",1990,390.7,75.6,123.9,151,40.2,390.7,0,32,83.4,7.6,0,13,4.8,0.4,174.4,75.2
"Melaka",1990,187.8,9.1,65.4,93.2,20.2,187.8,0,12.1,45.3,4.7,0,9.3,5.5,0,101.7,9.1
"N. Sembilan",1990,224.5,12.8,92.4,101.8,17.4,224.5,0,11.1,41.3,3.2,0,8.2,3.5,0.2,144.4,12.6
"P. Pinang",1990,470.3,16.2,137.2,275.9,41,470.3,0,43.8,111.5,12,0,15.2,11.2,0.3,260.3,15.9
"Pahang",1990,442.5,27.9,182.5,193.3,38.8,442.5,0,46.5,80.1,7.5,0,17.7,8.3,0.1,254.6,27.8
"Perak",1990,706.8,65,275.3,321.6,44.9,706.8,0,60.9,111.6,10.5,0,20.6,10.6,0.7,427.6,64.3
"Perlis",1990,59.7,4.6,22.7,28,4.3,59.7,0,6.3,11.1,1.2,0,1.8,0.9,0,33.8,4.6
