"ConState","Year","AllTotalEdu","NonEduc","Primary","Secondary","Tertiary","AllTotalCert","UPSRAEquiv","PMRSRPLCEEquiv","SPMEquiv","STPMEquiv","Certificate","Diploma","Degree","ReligCert","NoCert","NoRelevant"
"P. Pinang",2011,787.5,9.7,100.3,466.6,210.8,787.5,79.2,115.1,288.4,24.5,20.5,76.4,83.8,0,89.9,9.7
"Pahang",2011,624.6,14.9,117.1,372.1,120.4,624.6,95.9,96.9,257.2,18.1,17.8,43.9,38.5,0,41.3,14.9
"Perak",2011,944.6,17,163.9,582,181.8,944.6,126.8,166.5,363.3,27.7,23.1,61.6,67.8,0,90.8,16.9
"Perlis",2011,86.8,2.3,12.9,51.4,20.2,86.8,12.3,15.1,33.7,3.7,2.5,6,7.8,0,3.4,2.3
"Sabah",2011,1562.5,164.6,467.8,681.3,248.7,1562.5,302.2,202.2,381.3,52.9,24.8,80,84.7,0,269.9,164.4
"Sarawak",2011,1103.4,73.7,239.9,594.9,194.8,1103.4,200.5,185.4,345.3,32.1,22.5,60.7,76,0,107.2,73.5
"Selangor",2011,2710.8,39.3,328.7,1405.2,937.6,2710.8,278,319.3,1028.4,69.3,77.8,328.5,454.8,0,115.4,39.3
"Terengganu",2011,403.2,14.6,64.2,220.6,103.8,403.2,35.1,50.4,159.2,16.2,19,33.6,33.8,0,41.5,14.4
"W.P Kuala Lumpur",2011,837.6,7.1,89,451.8,289.7,837.6,69.8,100,322.3,21.9,14.9,114.8,137.2,0,49.6,7.1
"W.P Labuan",2011,40.3,1.6,5.7,21.7,11.3,40.3,5.3,5.4,15,2.1,2,3.3,3.8,0,1.9,1.6
"W.P Putrajaya",2011,41.9,0,1.7,13.4,26.7,41.9,0.9,1,12.4,2.3,2.1,9.5,12.7,0,1,0
"Johor",2012,1529.4,19.2,219.1,1005.2,285.9,1529.4,224.9,272.6,675.1,38.4,34,110.2,100.3,0,54.7,19.2
"Kedah",2012,810.3,21.9,151.7,487.3,149.4,810.3,74.8,148.2,311,25.7,21.2,50.4,51.3,0,105.9,21.9
"Kelantan",2012,592.3,32.3,102.7,323.5,133.8,592.3,61.5,91.9,213.8,37.2,14.4,37.7,42.2,0,61.3,32.3
"Melaka",2012,358.8,4.3,48.1,217.4,89,358.8,31.7,55.3,151.8,8.9,11.8,33.1,34.8,0,27,4.3
"N. Sembilan",2012,455.7,8.9,79.9,269.4,97.5,455.7,32.1,51.4,176.4,8.9,11.4,36.4,39.8,0,90.4,8.9
"P. Pinang",2012,795.8,8.3,105.1,469.3,213.1,795.8,96.2,112.7,289.6,22.9,22.8,78.9,82.5,0,81.8,8.3
"Pahang",2012,650.9,15.2,125.8,379.8,130.2,650.9,104.4,98.3,261,15.3,18.8,44.7,48.8,0,44.4,15.2
"Perak",2012,955.4,13.9,169.6,597.6,174.4,955.4,147.3,168.2,380,23.3,18.3,66.6,64.1,0,73.7,13.9
"Perlis",2012,90.6,2.2,12.5,56.4,19.5,90.6,12.4,16.8,37.1,4,2.6,5.5,7.2,0,2.7,2.2
"Sabah",2012,1627.9,151.6,486.2,744.3,245.7,1627.9,339.4,211.4,424.8,56.9,20.9,72.9,84.6,0,265.6,151.4
"Sarawak",2012,1184.9,86.2,272.3,609.1,217.3,1184.9,226.2,194.5,353.7,39.7,23.4,67.6,80.3,0,113.2,86.2
"Selangor",2012,2842.6,30.6,321.7,1485.2,1005.1,2842.6,282.8,327.7,1094.9,78.8,73.7,322.9,522.6,0,108.7,30.6
"Terengganu",2012,401.8,11.8,61.2,230.5,98.3,401.8,32.5,53.1,167.5,14.5,19.5,31.3,31.8,0,40.1,11.6
"W.P Kuala Lumpur",2012,842.9,7.9,82,456.9,296.1,842.9,63.2,107.2,318,17.9,17.3,114.3,145.3,0,51.9,7.9
"W.P Labuan",2012,41.3,1.6,5.7,21.8,12.3,41.3,5.4,6,14.5,1.8,2.1,4.1,4.1,0,1.6,1.5
"W.P Putrajaya",2012,40.9,0,1.4,13.3,26.2,40.9,1.1,1,12.1,1.9,2.1,10,12.2,0,0.6,0
"Johor",2013,1598.9,19.6,232,1041,306.3,1598.9,236.4,279.6,703.7,42.3,35.5,117.8,108.4,0,55.7,19.6
"Kedah",2013,862.8,21.8,159,512,169.9,862.8,74.9,142.5,338.5,30.1,23.6,57.2,57.8,0,116.3,21.8
"Kelantan",2013,619.8,31.5,83.8,367.4,137.1,619.8,61.6,99.6,245.9,35.3,12.7,42,44.2,0,47,31.5
"Melaka",2013,378.3,3.8,48.8,234.7,91,378.3,29.6,57.3,166.5,7.6,13.3,34.6,35.2,0,30.3,3.8
"N. Sembilan",2013,478.9,9.4,87.6,269.7,112.2,478.9,63.1,52,185.1,10.6,10.9,46.3,43.9,0,57.4,9.4
"P. Pinang",2013,826.1,9.8,111.8,491.3,213.2,826.1,117.8,120.4,297,22.2,17.8,77.9,91.2,0,71.9,9.8
"Pahang",2013,678.9,19.1,141,381.2,137.5,678.9,107.8,103.7,256.8,19.1,18.4,49.4,48.7,0,55.8,19.1
"Perak",2013,985.2,16.7,168.7,620.3,179.5,985.2,145.9,177,394.9,26.8,20.3,70.2,61,0,72.4,16.7
"Perlis",2013,97.9,2.3,12.4,62.6,20.7,97.9,12.4,17.4,42.5,4.1,2.9,6.5,6.9,0,2.8,2.3
"Sabah",2013,1801.7,171.2,555,806,269.5,1801.7,356.3,238.2,457.8,55.4,22.3,94.2,90.2,0,318.6,168.8
"Sarawak",2013,1234.2,85.9,294.8,639,214.5,1234.2,264.2,189.8,380,44.8,19.5,73.5,73,0,103.4,85.9
"Selangor",2013,3006.2,23.2,337,1573.6,1072.5,3006.2,319.1,347.3,1141.5,68.3,70.7,388.1,541.7,0,106.3,23.2
"Terengganu",2013,421.3,11.1,73.2,238.4,98.6,421.3,34.1,52.9,175.3,15.6,17.4,31.6,32.7,0,50.7,11.1
"W.P Kuala Lumpur",2013,907.3,9.1,76.6,506.8,314.7,907.3,84.5,108.1,366.4,22.4,14.8,131.2,145.6,0,25.2,9.1
"W.P Labuan",2013,41.8,1.3,5.4,22.4,12.6,41.8,4.8,5.2,16.3,2.1,2.2,3.8,4.5,0,1.8,1.3
"W.P Putrajaya",2013,41.2,0.1,1.5,12.9,26.6,41.2,1.2,0.8,12.1,2.6,2.1,10,11.9,0,0.4,0.1
"Johor",2014,1621.1,15.9,231.3,1031.3,342.7,1621.1,235.9,276.7,696.4,34.3,33.3,137.7,135,0,55.9,15.9
"Kedah",2014,884.1,19.2,133,525.3,206.7,884.1,69,136.1,354.9,34.9,28.7,70.9,71.1,0,99.2,19.2
"Kelantan",2014,646.2,27.3,83.8,375.1,159.9,646.2,54.9,94.9,264.3,37.2,14.2,47.8,59.5,0,46.1,27.3
"Melaka",2014,398.3,2.5,44.1,244.9,106.9,398.3,27.1,53.1,181.7,10.7,16.1,39.4,40,0,27.8,2.5
"N. Sembilan",2014,480.9,6.7,82.2,269,123,480.9,68.8,51.8,185.9,9.9,12.7,49.3,50.2,0,45.6,6.7
"P. Pinang",2014,852.5,8,85.6,515.8,243.1,852.5,94.7,114.5,354.5,26.9,25,80.8,105,0,43.1,8
"Pahang",2014,702.1,14.5,138.5,397.2,151.9,702.1,111.1,98.7,275.9,18.2,22.2,54,55.6,0,51.8,14.5
"Perak",2014,987.2,11.9,138.6,631.7,205,987.2,119,175.8,416,25.3,25.1,81.7,72.1,0,60.4,11.9
"Perlis",2014,98.5,1.4,11.6,60,25.4,98.5,11,14.3,43.4,4.8,2.9,8.2,9.4,0,3,1.4
"Sabah",2014,1831.6,169.4,579.2,786.2,296.8,1831.6,362,238.8,460.7,69,21.4,98.3,104.6,0,309.6,167.2
"Sarawak",2014,1271.4,73.1,270.9,691.5,235.9,1271.4,250.2,215.3,415.2,40.1,24.2,78.6,88.8,0,85.8,73.1
"Selangor",2014,3096,21.7,332.2,1619.7,1122.4,3096,297,347.3,1184.6,71.2,91.7,393.8,562,0,126.6,21.7
"Terengganu",2014,432.8,14.5,58.1,243.3,116.9,432.8,28.6,49.7,182,16.8,21.6,39,38.9,0,41.7,14.5
"W.P Kuala Lumpur",2014,877,8.3,68.8,452,347.9,877,67.8,98.1,329,19.9,13.6,128.9,184.8,0,26.4,8.3
"W.P Labuan",2014,43,1.5,6,25,10.5,43,5.2,6.7,17.5,1.6,1.6,3.6,3.5,0,1.8,1.5
"W.P Putrajaya",2014,40.8,0,0.7,14.7,25.4,40.8,0.7,1,13.7,2.2,2.4,9.3,11.4,0,0,0
"Johor",2015,1633.2,25.5,220.2,1026.1,361.4,1633.2,240.8,268.8,697.3,38.6,42.1,138.9,137.8,0,43.4,25.5
"Kedah",2015,905.3,27.4,126.4,540.3,211.2,905.3,84.2,151.2,358.2,34.3,31.3,68.2,75.6,0,75,27.4
"Kelantan",2015,676.2,33.1,74.7,386.8,181.5,676.2,56.1,98.9,274.4,40.8,16.4,55.4,66.4,0,34.7,33.1
"Melaka",2015,402.4,4.7,37.2,242.7,117.8,402.4,34.8,53.6,180,9.5,16.8,43.8,46.7,0,12.4,4.7
"N. Sembilan",2015,483.6,6.4,78.2,278,121,483.6,59.2,52.4,206.8,12.6,11.8,46,50.2,0,38.2,6.4
"P. Pinang",2015,848.1,6.4,84.6,500.1,257.1,848.2,96.3,125.6,325.8,27.1,22.1,94.4,110.2,0,40.4,6.2
"Pahang",2015,718.2,19.6,130.5,406,162,718.2,104.4,103.8,283.9,19.5,23.8,61.4,55.6,0,46.2,19.6
"Perak",2015,1014.3,21.2,141.2,628,223.9,1014.3,129.5,167.8,418.1,24.9,27,90.7,79.3,0,55.8,21.2
"Perlis",2015,101.1,1.1,9.6,64.1,26.3,101.1,10,14.9,47.3,4.3,3.7,8.2,9.9,0,1.7,1.1
"Sabah",2015,1863.4,191.3,564.5,796.3,311.4,1863.4,371.4,235,472.6,67.6,23.6,93.1,120.7,0,288.2,191.1
"Sarawak",2015,1258.3,65.8,278.3,657.3,256.9,1258.3,251.5,206.4,391.4,39.5,26.1,83.4,104.6,0,90.1,65.2
"Selangor",2015,3212.9,26.9,365.4,1562.9,1257.7,3212.9,352.2,343.4,1128.9,69.4,87.4,461.9,632.9,0,109.8,26.9
"Terengganu",2015,438,11.8,53.5,252.3,120.4,438,30.6,46,195.6,14.4,21.7,40.7,42.5,0,34.7,11.8
"W.P Kuala Lumpur",2015,882.6,3.5,60.5,459,359.6,882.6,60.2,103.4,337.4,23.1,13.4,127.6,192.2,0,21.7,3.5
"W.P Labuan",2015,41.5,1.6,4.3,24.7,11,41.5,4.1,7,16.8,2.2,1.4,4.1,3.3,0,1.2,1.5
"W.P Putrajaya",2015,38.9,0.1,0.5,12,26.3,38.9,0.5,0.8,11.2,2.2,1.8,9.6,12.7,0,0,0.1
"Johor",2016,1639.1,20.6,213.5,1048.5,356.5,1639.1,219.9,251,742.8,41.1,39.9,130.2,143.8,0,50.2,20.4
"Kedah",2016,910.9,22.9,126.7,547.5,213.9,910.9,98.4,142.1,382.4,31.8,30.6,64.9,85.7,0,52.3,22.9
"Kelantan",2016,657.8,34.3,63,380.2,180.3,657.8,46.6,91.5,273.5,35.9,17.6,52.2,73.7,0,32.5,34.3
"Melaka",2016,400.8,3.6,35,245.2,117,400.8,35.9,54.3,180.6,10.2,15.9,47.6,43.1,0,9.6,3.6
"N. Sembilan",2016,479.7,4.1,77.9,267.3,130.4,479.7,59.5,53.4,193.9,12.9,14.6,48.9,53.9,0,38.7,4.1
"P. Pinang",2016,845.5,5.7,70.7,495.4,273.7,845.5,88.3,138,319.1,23.4,21.3,93.5,133.9,0,22.3,5.7
"Pahang",2016,710.5,18.1,112,407.8,172.6,710.5,93.2,100.8,288.2,21.9,21.5,62,66.6,0,38.1,18.1
"Perak",2016,1023.1,11.4,130.4,643.7,237.5,1023.1,130.7,175.1,430.5,27.4,24.9,87.7,95.5,0,39.8,11.4
"Perlis",2016,103.2,1.7,10.1,63.9,27.4,103.1,10.2,15,47.2,4.5,3,8.9,11,0,1.7,1.7
"Sabah",2016,1927.1,163.2,622.4,831.2,310.2,1927.1,387.4,226.3,517,71.9,27.2,97.5,109.6,0,327.8,162.4
"Sarawak",2016,1260.1,59,259.2,685.4,256.5,1260.1,244.8,200.5,424.5,44.8,25.1,80.7,103.5,0,77.5,58.7
"Selangor",2016,3325,28.2,289.4,1757.2,1250.2,3325,309,394.4,1277.9,80,84.3,438.2,644.1,0,68.8,28.2
"Terengganu",2016,447.2,10.7,50.3,252.1,134.1,447.2,31.2,49.9,189.1,16.2,22.5,44.6,50,0,33,10.7
"W.P Kuala Lumpur",2016,855.4,2.6,51.2,436.4,365.2,855.4,50.1,82.9,336,16.5,13.8,136.6,197.2,0,19.8,2.6
"W.P Labuan",2016,43.6,1.3,4.7,24.5,13.1,43.6,4.2,5.5,18.1,1.6,1.9,5,4.6,0,1.4,1.3
"W.P Putrajaya",2016,38.9,0,0.7,11.9,26.4,38.9,0.8,0.8,10.7,1.4,2,10,13,0,0.2,0
"Johor",2017,1671.7,16.4,216.3,1040.3,398.7,1671.7,225.3,239.2,750.2,44.1,45.5,152.9,154.8,0,43.4,16.4
"Kedah",2017,930.8,14.5,113.1,583.9,219.3,930.8,95.2,146.7,415.6,34.2,29.7,73,81.6,0,40.3,14.5
"Kelantan",2017,694.8,29,70.5,410,185.3,694.8,57.3,89.4,304.5,39.2,21.6,55.9,67.9,0,29.9,29
"Melaka",2017,409.4,4.1,30.2,239,136.1,409.4,33.6,53.1,174.6,10.5,19,52.3,53.9,0,8.4,4.1
"N. Sembilan",2017,490.7,3.1,55.1,288.7,143.8,490.7,45,68.9,206.2,11.3,14.3,55.3,62.6,0,24,3.1
"P. Pinang",2017,839.5,7.3,77.6,483.5,271.1,839.5,91.5,119.1,324.9,23.2,22.4,92.5,131.2,0,27.5,7.3
"Pahang",2017,710.5,14.7,106.8,426,163,710.5,86.5,100.5,312.1,19.8,18.8,58.8,64.4,0,35,14.7
"Perak",2017,1048.4,20.4,133.5,648,246.4,1048.4,124.7,171.3,438.6,25.2,26.7,88.6,104.5,0,48.3,20.4
"Perlis",2017,101.4,1.4,7.4,60.5,32,101.4,6.6,14.2,44.6,4.9,4,9.2,13.8,0,2.6,1.4
"Sabah",2017,1903.4,175.9,557.4,843.9,326.2,1903.4,372.1,244.4,516.3,68,22.4,105.5,125.5,0,274,175.1
"Sarawak",2017,1290.7,49.5,228.8,745.5,266.9,1290.7,222.2,232.7,458.8,51.4,22.4,81.6,107.6,0,64.4,49.5
"Selangor",2017,3457.6,35.5,292.1,1807,1323,3457.6,276.2,367.5,1389.5,67.8,81.9,455.8,712.8,0,70.7,35.5
"Terengganu",2017,456.4,11.2,42.2,260.7,142.3,456.4,22.5,50,201.2,15.7,24.5,46.4,54.8,0,30,11.2
"W.P Kuala Lumpur",2017,867.9,5.6,51.3,470.5,340.6,867.9,52,101.3,349.4,17.8,14,121.3,187,0,19.7,5.6
"W.P Labuan",2017,41.8,1.2,4.2,25.1,11.3,41.8,3.8,6.6,17.5,1.7,1.4,4.5,3.7,0,1.4,1.2
"W.P Putrajaya",2017,37.7,0,0.9,11.8,25.1,37.7,0.9,0.9,10.8,1.7,1.4,9.8,12.2,0,0,0
