"ConState","Year","AllTotalMarital","NeverMarried","Married","Widow","DivorcePermSeparate","AllTotalAge","Age15to19","Age20to24","Age25to29","Age30to34","Age35to39","Age40to44","Age45to49","Age50to54","Age55to59","Age60to64"
"Selangor",2010,2634.4,1013.7,1551.9,40.5,28.3,2634.4,56.8,411.6,592,445,360.7,279.4,230.4,156.6,73.1,28.7
"Terengganu",2010,380.6,125.7,239.3,8.8,6.8,380.6,18.6,59.3,59,48.9,44.1,43.3,41.1,33.4,20.5,12.4
"W.P Kuala Lumpur",2010,812.9,344.5,439.1,12.1,17.1,0,0,0,0,0,0,0,0,0,0,0
"W.P Labuan",2010,40,15.2,23.6,0.5,0.7,0,0,0,0,0,0,0,0,0,0,0
"Johor",2011,1499.9,570.4,884.5,23.4,21.7,1499.9,50.9,240.7,282.9,220.8,185.7,163.8,142.9,109.7,66.8,35.6
"Kedah",2011,770,238.8,498.4,16.8,16,770,31.2,109.4,124,98.1,92.5,90.2,85.8,68.6,44.3,25.9
"Kelantan",2011,555.4,156.3,369.8,15.4,14,555.4,22.2,67.8,82.8,71.2,63.6,66.3,66.7,56.5,37.3,21
"Melaka",2011,343.3,120.5,209.6,7.7,5.5,343.3,15.2,48.6,62.7,47,39.8,38.7,37.4,29.7,16.5,7.6
"N. Sembilan",2011,429.1,141.8,272.1,8.6,6.6,429.1,15.8,65.7,72.1,60.2,51.7,46.1,45.1,39.3,22.6,10.5
"P. Pinang",2011,787.5,297.4,455.1,15,20,787.5,24.6,109.3,140.6,118.4,101.1,89.2,78.5,63.1,39.5,23.1
"Pahang",2011,624.6,218.8,385.6,12.1,8.1,624.6,30.6,91.1,118.6,88,70,64.6,61.1,49.6,30.8,20.2
"Perak",2011,944.6,325.7,582.2,21.2,15.6,944.6,40.2,135.6,140.7,119.2,107.1,107.4,108.3,89.4,59.3,37.3
"Perlis",2011,86.8,27.5,55.7,1.9,1.7,86.8,4.8,14.3,13.9,10,8.6,9.5,9.6,8,5.1,3.1
"Sabah",2011,1562.5,611.6,897.7,26.6,26.6,1562.5,151.2,278.4,306,215.1,176.7,149.5,121.2,91.9,49.8,22.5
"Sarawak",2011,1103.4,351.4,709.5,20.4,22,1103.4,56.8,159.1,179.1,135.9,137,126.5,117.3,92,62.6,37
"Selangor",2011,2710.8,1049.1,1595.4,33,33.2,2710.8,61.6,383.7,599.1,464.8,371.3,294.4,243.9,168.2,85.7,38
"Terengganu",2011,403.2,132,254.5,10.7,6,403.2,19.3,61.4,66.3,51.4,45,44.8,42.2,36.5,22.3,14
"W.P Kuala Lumpur",2011,837.6,363.9,443.4,16.1,14.3,0,0,0,0,0,0,0,0,0,0,0
"W.P Labuan",2011,40.3,15.4,23.7,0.7,0.6,0,0,0,0,0,0,0,0,0,0,0
"W.P Putrajaya",2011,41.9,11.6,29.6,0.4,0.3,0,0,0,0,0,0,0,0,0,0,0
"Johor",2012,1529.4,553.9,918,30.5,26.9,1529.4,48.9,235.3,280.6,231.1,188,166,147.4,121.2,71.6,39.3
"Kedah",2012,810.3,254.9,520.8,19.3,15.3,810.3,36.7,110.1,125.9,102.5,95,93.9,87.8,76.5,51.3,30.6
"Kelantan",2012,592.3,177.4,384.7,15.2,15,592.3,31.5,77,83.7,72.4,66.1,67.5,67.7,59.5,40.9,26
"Melaka",2012,358.8,131.5,212.4,8.2,6.7,358.8,16.2,52.6,64.8,50.2,40.3,39.2,37,31.4,17.3,9.8
"N. Sembilan",2012,455.7,159.6,276.7,12.8,6.6,455.7,21.2,70.8,78.7,60,52.5,46.6,45.6,40.1,25.8,14.3
"P. Pinang",2012,795.8,288.6,473.8,15.5,17.9,795.8,22.5,108.3,143,116.6,101.8,89.5,80,64.4,44,25.9
"Pahang",2012,650.9,221.3,405.6,16.2,7.8,650.9,29.2,95.1,117.1,96.1,72,66,62,54.5,36.8,22
"Perak",2012,955.4,338,579.4,21.7,16.3,955.4,36.6,145.5,147.8,117.1,109.7,102.9,104.6,92,63,36.1
"Perlis",2012,90.6,26.2,60.3,2.3,1.8,90.6,4.5,13.3,14.4,11.1,9.2,9.6,10,8.8,6,3.8
"Sabah",2012,1627.9,651.8,917.2,29.5,29.5,1627.9,154.5,282.1,319.8,225.7,182.6,154.5,127.1,96.8,57,27.8
"Sarawak",2012,1184.9,375.3,758,25.2,26.4,1184.9,65.6,173.1,184.4,148.9,137.5,134.7,121.1,102,74.6,43.2
"Selangor",2012,2842.6,1022.5,1738.5,46.8,34.9,2842.6,58.8,374.2,616.3,501,387.9,320.4,254.8,182.7,101.4,45.2
"Terengganu",2012,401.8,132.8,250.8,10.3,7.9,401.8,18.5,62.4,67.4,51.8,45.1,43.7,42.5,36.2,21.9,12.2
"W.P Kuala Lumpur",2012,842.9,353.9,452.9,17.1,19,0,0,0,0,0,0,0,0,0,0,0
"W.P Labuan",2012,41.3,15.5,24.2,0.8,0.8,0,0,0,0,0,0,0,0,0,0,0
"W.P Putrajaya",2012,40.9,9.5,30.6,0.3,0.5,0,0,0,0,0,0,0,0,0,0,0
"Johor",2013,1598.9,550,990.5,30.8,27.6,1598.9,53.7,231.3,278.9,246.5,194.3,177.6,158.1,130.3,79.7,48.6
"Kedah",2013,862.8,268.8,553.2,23.5,17.3,862.8,34.1,120.4,133.7,109.7,102.2,98.1,93.1,78.5,57.3,35.7
"Kelantan",2013,619.8,187.7,399,19.4,13.7,619.8,29.3,88,88.8,76,67,69,69.5,63.3,44.1,24.8
"Melaka",2013,378.3,129.4,233.4,8.9,6.6,378.3,15.8,53.8,66.4,53.5,42,39.6,38.8,35.4,21.9,11
"N. Sembilan",2013,478.9,166.7,291.5,13.4,7.2,478.9,22.6,72.9,82.6,64.8,55.4,49.1,46.3,42,28.7,14.4
"P. Pinang",2013,826.1,303.8,489.4,15.1,17.8,826.1,22.6,110.4,148.8,125.5,106.7,93.2,82.6,67.7,43,25.6
"Pahang",2013,678.9,228.8,421,18.6,10.5,678.9,27,100,118.4,104.1,76.7,68.7,62.9,56.5,39.3,25.3
"Perak",2013,985.2,372.4,575.4,23.3,14.1,985.2,42.5,158.5,155.1,117.2,111.1,104.1,104.9,92.8,63.9,35
"Perlis",2013,97.9,32.1,61.1,2.5,2.3,97.9,4.7,17.3,15.3,11.7,9.2,9.5,10.2,9.4,6.4,4.2
"Sabah",2013,1801.7,701.5,1036.4,30.6,33.3,1801.7,163.1,319.2,347.9,265.9,201.1,166.7,135.8,104.6,64,33.5
"Sarawak",2013,1234.2,418.9,762.5,26.9,25.9,1234.2,56.5,186.2,202.2,157.3,141.4,137.5,126.2,105.2,78.3,43.4
"Selangor",2013,3006.2,1065,1857.4,46.7,37.1,3006.2,64.4,377.7,630.9,552,408.6,331,271.7,206.4,115.9,47.7
"Terengganu",2013,421.3,139,262.1,10.9,9.3,421.3,19.3,63.2,72.8,54.3,45.8,45.1,43,38.4,25.3,14.1
"W.P Kuala Lumpur",2013,907.3,377.1,495.7,14.9,19.6,0,0,0,0,0,0,0,0,0,0,0
"W.P Labuan",2013,41.8,15.1,25,0.7,0.9,0,0,0,0,0,0,0,0,0,0,0
"W.P Putrajaya",2013,41.2,8.9,31.6,0.3,0.5,0,0,0,0,0,0,0,0,0,0,0
"Johor",2014,1621.1,575.5,988.8,36.2,20.7,1621.1,55.7,235,281.6,251.8,201.3,176.3,152.6,133.2,87.4,46.4
"Kedah",2014,884.1,273.8,569.4,21.3,19.6,884.1,38.4,124.2,141.4,115.9,104.2,99.5,93,81.7,55.8,30
"Kelantan",2014,646.2,203,406.7,20.1,16.3,646.2,26.3,95.1,96.3,80.9,70.5,70.1,72.7,65.2,45.3,23.9
"Melaka",2014,398.3,135.6,247.5,7.2,8.1,398.3,15.8,59.5,68.4,57.7,44.7,39.4,40.3,37,23.7,11.9
"N. Sembilan",2014,480.9,169.7,290.3,12.9,7.9,480.9,19.6,75.2,82.6,67.5,55.9,48.3,45.3,42.8,28,15.7
"P. Pinang",2014,852.5,310,508.9,16,17.7,852.5,21.7,113.1,150.2,134.4,108.8,97.9,85.5,68.3,48.2,24.3
"Pahang",2014,702.1,236.2,437.8,17.3,10.7,702.1,25.3,107.1,120.2,113,78.8,69.9,63.6,57.7,41.8,24.6
"Perak",2014,987.2,366,577.7,25.8,17.7,987.2,39.5,160.4,165.7,120.9,112.5,101.7,102,92.9,59.6,32.1
"Perlis",2014,98.5,33,60.1,2.7,2.7,98.5,3.5,18,16.3,12.9,9.8,9.1,10.1,9,6.4,3.5
"Sabah",2014,1831.6,683.9,1090.8,28,28.8,1831.6,160.1,319.5,352,282.3,206.7,167.8,136.6,107.6,68.2,30.7
"Sarawak",2014,1271.4,420,801.7,21.8,27.8,1271.4,63.9,194,205.9,167.2,139.8,138.5,125.5,108.5,80.9,47.2
"Selangor",2014,3096,1084.3,1927.5,50,34.1,3096,68.4,361.5,646.2,573.1,424.6,349,280.4,210.9,123.8,58.2
"Terengganu",2014,432.8,150.5,263.5,10.3,8.6,432.8,18.2,69.2,73.1,57.9,47.2,45.5,43.5,39.4,25.8,13
"W.P Kuala Lumpur",2014,877,348.4,502.4,13.6,12.6,0,0,0,0,0,0,0,0,0,0,0
"W.P Labuan",2014,43,15.4,26.2,0.9,0.5,0,0,0,0,0,0,0,0,0,0,0
"W.P Putrajaya",2014,40.8,7.5,32.4,0.3,0.7,0,0,0,0,0,0,0,0,0,0,0
"Johor",2015,1633.2,584.4,986.8,37.1,24.9,1633.2,53.5,232.9,276.6,255.6,206.1,179.5,160.3,132.2,92.3,44.2
"Kedah",2015,905.3,287.4,576.1,23.6,18.2,905.3,36,130.5,147.4,121.7,104.3,98.1,93.5,81.3,60,32.4
"Kelantan",2015,676.2,215.2,423.3,20.9,16.8,676.2,29.5,105.6,102.3,86.9,72.5,71.2,71.3,64.7,47.6,24.6
"Melaka",2015,402.4,135.4,249.9,8.4,8.7,402.4,15.6,57.5,72.3,58.2,45.9,39.7,40.2,36.4,24.2,12.4
"N. Sembilan",2015,483.6,160.9,303.7,12,7,483.6,16.4,71.2,86.7,68.2,57.6,49.2,45.6,41.8,30.9,16
"P. Pinang",2015,848.1,307,505.3,13.8,22,848.1,19.4,109.6,151,136.4,106.4,97,84,68.1,50.2,26.1
"Pahang",2015,718.2,240.5,447.1,20.7,9.9,718.2,28,109.2,123,116,83.6,70.2,63.5,56.7,43.5,24.5
"Perak",2015,1014.3,384.7,587.6,21.6,20.4,1014.3,39.5,165.5,175.2,128.9,110.6,102,102.3,93,64.2,33.1
"Perlis",2015,101.1,32.4,64.1,2.7,1.9,101.1,3.5,18.2,17.3,13.6,10.2,8.8,10.3,9.6,6.2,3.6
"Sabah",2015,1863.4,663.9,1129.6,36.4,33.6,1863.4,150.1,325.9,356.6,292.2,212.4,172.8,134.7,111.3,72.9,34.4
"Sarawak",2015,1258.3,417.8,785.5,24.3,30.7,1258.3,52.6,192,206,170.4,138.7,138.2,127.5,108,78.9,46.1
"Selangor",2015,3212.9,1033.4,2083.2,53.8,42.5,3212.9,58,347.8,652.9,610.1,443.1,368.5,305.9,229.1,138,59.5
"Terengganu",2015,438,150.3,267.6,11.6,8.4,438,17.7,69.1,78.7,60.3,48.4,44.8,42.7,38.7,25.3,12.4
"W.P Kuala Lumpur",2015,882.6,340,510.6,15.4,16.7,0,0,0,0,0,0,0,0,0,0,0
"W.P Labuan",2015,41.5,14.1,25.6,1.2,0.6,0,0,0,0,0,0,0,0,0,0,0
"W.P Putrajaya",2015,38.9,7.2,30.9,0.5,0.4,0,0,0,0,0,0,0,0,0,0,0
"Johor",2016,1639.1,611.6,970.5,33.5,23.5,1639.1,56.9,240.5,280.8,254.4,206,181.1,156.1,129.4,92,42
"Kedah",2016,910.9,293.5,573.6,26.9,17,910.9,35.5,132.3,146.2,120,105.8,101.3,94.4,84.9,58.7,31.7
"Kelantan",2016,657.8,209.2,411.2,21.4,16,657.8,25.3,101.5,102.9,85.6,72.5,69.7,68.9,61.6,47.9,21.9
"Melaka",2016,400.8,137.4,246.4,8.9,8.1,400.8,15.6,60.3,67.8,61.1,47.3,39.5,39.6,36.1,23.2,10.3
"N. Sembilan",2016,479.7,165.3,294.5,10.3,9.6,479.7,12,74.5,87.5,68.4,57.7,48.1,45.4,42.2,29.7,14.2
"P. Pinang",2016,845.5,316.8,486.7,18.2,23.7,845.5,18.5,117.5,148.4,135.6,105,97.5,84.8,68.8,47.2,22.2
"Pahang",2016,710.5,238.6,441.2,19.3,11.4,710.5,25.9,100.4,122.8,115.8,84.3,71.9,64.8,57.4,42.4,24.9
"Perak",2016,1023.1,385.4,601.2,18.8,17.6,1023.1,41,153.7,177.8,126.7,116,105.2,102.4,94.4,68.9,36.8
"Perlis",2016,103.1,33.7,65,2.3,2.2,103.1,3.7,18.5,17.3,13.7,10.7,9,10.2,9.9,6.7,3.7
"Sabah",2016,1927.1,721.7,1131.5,37.4,36.4,1927.1,149,348.4,398.6,285,213.9,170.6,140.4,112.1,75,34
"Sarawak",2016,1260.1,429.6,777.7,24,28.9,1260.1,55.1,197,211,169.7,139.4,134.9,125.6,107.8,77.9,41.9
"Selangor",2016,3325,1109.2,2117.8,52,46,3325,51.6,377.2,697.9,621.8,471,372.1,310.4,228.2,138.5,56.3
"Terengganu",2016,447.2,161.9,266.8,9.2,9.2,447.2,19.6,75.9,78.8,60.1,47.8,45.7,41.6,40.9,25.1,11.8
"W.P Kuala Lumpur",2016,855.4,356.5,470.5,12,16.3,0,0,0,0,0,0,0,0,0,0,0
"W.P Labuan",2016,43.6,15.4,26.7,0.9,0.5,0,0,0,0,0,0,0,0,0,0,0
"W.P Putrajaya",2016,38.9,7,31.1,0.2,0.5,0,0,0,0,0,0,0,0,0,0,0
"Johor",2017,1671.7,592.6,1021.5,29.1,28.5,1671.7,55.8,244.8,288.5,264.3,214.1,183,154.7,135.6,89.2,41.6
"Kedah",2017,930.8,321.1,562.9,27.3,19.5,930.8,31.6,131.6,155.3,123,108.1,102,95.2,83.2,63.7,37
"Kelantan",2017,694.8,233.5,425.4,17.9,18,694.8,27.7,114.9,115.1,90.2,73.4,69.6,69,64.7,47.3,22.9
"Melaka",2017,409.4,148.9,243,8,9.5,409.4,13.7,62.7,76.9,61.7,47.1,39.5,39.1,34.7,23.8,10.3
"N. Sembilan",2017,490.7,182.4,285.6,11.1,11.6,490.7,15.8,76.7,90.7,72.2,57.6,49.5,45.8,39.8,28.7,14.1
"P. Pinang",2017,839.5,331.9,469.8,16.8,20.9,839.5,17.7,113.7,149.8,137.2,111.6,93.6,80.1,65.4,47.6,22.7
"Pahang",2017,710.5,247.9,430.8,19.4,12.4,710.5,22.4,102,122.7,118.3,86.3,70.8,63.3,57.4,42.8,24.6
"Perak",2017,1048.4,394,609.6,21.1,23.6,1048.4,40.5,164.4,184.8,137.1,114.7,107.7,104.7,96.1,65.5,32.9
"Perlis",2017,101.4,33.2,62.8,2.8,2.6,101.4,2.7,15.7,17.8,14.5,10.7,8.9,10.2,9.9,7,4.1
"Sabah",2017,1903.4,732.1,1103.7,32,35.5,1903.4,139.7,364.6,381.2,284.8,216.9,170.5,136.4,109.9,69.2,30.1
"Sarawak",2017,1290.7,445,790.9,24,30.8,1290.7,52.6,193.6,219.2,174.6,148.9,133.8,126.7,109.1,83.2,49
"Selangor",2017,3457.6,1152.8,2185.3,62.8,56.8,3457.6,67.7,359.8,686,681.6,498.2,399.7,315.2,235.9,148.9,64.8
"Terengganu",2017,456.4,166.3,270.7,10.8,8.6,456.4,17.2,73.1,85.3,64.9,50.1,44,43.1,38.8,27.7,12.3
"W.P Kuala Lumpur",2017,867.9,349.3,483.5,11.6,23.5,0,0,0,0,0,0,0,0,0,0,0
"W.P Labuan",2017,41.8,14.8,25.5,0.7,0.8,0,0,0,0,0,0,0,0,0,0,0
"W.P Putrajaya",2017,37.7,7.2,29.3,0.5,0.7,0,0,0,0,0,0,0,0,0,0,0
"W.P. Kuala Lumpur",1982,0,0,0,0,0,472.6,57.9,116.2,95,68.6,43.6,36,23.8,16.7,9.3,5.4
"W.P. Kuala Lumpur",1983,0,0,0,0,0,439.6,49.2,112.2,86.6,63.2,42.4,32.2,22,17,9.7,5.2
"W.P. Kuala Lumpur",1984,0,0,0,0,0,504.5,49.8,120.9,104.6,73.5,53.6,40.1,30,17.3,10.3,4.5
"W.P. Labuan",1984,0,0,0,0,0,17.3,2.3,4.3,3.8,2.7,1.5,1,0.7,0.5,0.4,0.3
"W.P. Kuala Lumpur",1985,0,0,0,0,0,509.7,46.1,123.6,104.5,74.6,59.6,36.9,31.1,17.6,11.7,3.9
"W.P. Labuan",1985,0,0,0,0,0,16.3,1.9,3.6,3.7,2.5,1.6,0.9,0.7,0.6,0.4,0.3
"W.P. Kuala Lumpur",1986,0,0,0,0,0,481.3,40.9,113.1,102.6,69.8,53.3,37.8,29.9,18.7,10.1,5.3
"W.P. Labuan",1986,0,0,0,0,0,15.3,1.9,3.3,3.1,2.7,1.7,1,0.6,0.5,0.3,0.1
"W.P. Kuala Lumpur",1987,0,0,0,0,0,485.5,36.5,109,104.9,74.8,58.7,37.6,30.2,18.4,9.1,6.2
"W.P. Labuan",1987,0,0,0,0,0,13.6,1.4,2.5,3.1,2.7,1.7,0.8,0.7,0.4,0.2,0.2
"W.P. Kuala Lumpur",1988,0,0,0,0,0,498.7,34,110,106.2,81,62.8,39.5,30.6,20.1,10.1,4.5
"W.P. Labuan",1988,0,0,0,0,0,13.8,1.5,2.7,2.8,2.8,1.7,0.8,0.7,0.4,0.3,0.1
"W.P. Kuala Lumpur",1989,0,0,0,0,0,524.3,35.3,108.1,113.2,86.4,63.2,47,33.1,23.3,9.9,4.8
"W.P. Labuan",1989,0,0,0,0,0,14.7,1.5,2.6,2.9,2.9,1.9,1,0.8,0.4,0.3,0.2
"W.P. Kuala Lumpur",1990,0,0,0,0,0,503.9,36.5,99.5,107.5,81.9,56.1,48.8,31.2,25.4,11.8,5.3
"W.P. Labuan",1990,0,0,0,0,0,15.7,1.2,2,3.4,3.9,2.5,1.3,0.9,0.2,0.3,0.1
"W.P. Kuala Lumpur",1992,0,0,0,0,0,569.6,39.9,118.5,118.9,90.8,72.6,54.3,33.4,24.6,11.6,5.1
"W.P. Labuan",1992,0,0,0,0,0,15.4,1.9,2.9,2.6,2.6,2.4,1.5,0.7,0.5,0.2,0.2
"W.P. Kuala Lumpur",1993,0,0,0,0,0,598.6,41,112.6,110.7,104.8,85.8,51.5,38.9,33,16.4,3.9
"W.P. Labuan",1993,0,0,0,0,0,18.4,1.8,2.7,3.9,4.3,2.3,1.4,1.1,0.7,0.1,0.3
"W.P. Kuala Lumpur",1995,0,0,0,0,0,598.4,30.1,112.3,112.3,101.1,77.8,67.7,46.9,30.1,14.4,5.9
"W.P. Labuan",1995,0,0,0,0,0,32.6,3.3,5.7,5.8,5.6,4.9,3,2.3,1.1,0.5,0.4
"W.P. Kuala Lumpur",1996,0,0,0,0,0,710.8,40.8,137.3,126.1,111.1,95.5,78.6,59.9,33,18.7,9.7
"W.P. Labuan",1996,0,0,0,0,0,39.4,3.5,8,7.5,9.1,6,3.1,1.2,0.3,0.4,0.2
"W.P. Kuala Lumpur",1997,0,0,0,0,0,700.7,34.6,130.4,130.9,109.8,96.3,81.2,51.7,38,19.2,8.6
"W.P. Labuan",1997,0,0,0,0,0,35.9,2.5,5.4,7.4,4.8,7,3.7,2.3,1.3,0.6,1.1
"W.P. Kuala Lumpur",1998,0,0,0,0,0,685.6,25.5,116.4,143,115.6,95.2,71.7,56.4,35,17.9,9
"W.P. Labuan",1998,0,0,0,0,0,37.9,2.5,7.3,8,6.8,4.3,4.9,2.2,1.1,0.6,0.3
"W.P. Kuala Lumpur",1999,0,0,0,0,0,710.4,25.6,126.8,148.1,115.2,94.7,78.7,58.6,37.4,17.4,7.9
"W.P. Labuan",1999,0,0,0,0,0,42.9,3,7.6,6.7,9.2,4.3,5.7,2.2,2.1,0.5,1.6
"W.P. Kuala Lumpur",2000,0,0,0,0,0,680.4,23.8,116.8,133.4,108.6,96.3,84.5,60.4,33.7,15.6,7.4
"W.P. Labuan",2000,0,0,0,0,0,26.7,1.9,5.3,4.4,4.3,3.8,3.2,1.9,1.2,0.6,0.1
"W.P. Kuala Lumpur",2001,0,0,0,0,0,723.2,22.7,115.5,141.8,118,106.1,89.4,65.8,37.5,18.4,7.9
"W.P. Labuan",2001,0,0,0,0,0,28.7,2.4,5.2,5,5.1,3.7,3.1,2.2,1.2,0.5,0.3
"W.P. Kuala Lumpur",2002,0,0,0,0,0,816.9,24.9,123.5,169,128.2,109.1,100.9,75.5,50.2,25.2,10.6
"W.P. Labuan",2002,0,0,0,0,0,34,2.3,6.2,5.8,5.5,4.7,3.9,2.9,1.8,0.6,0.3
"W.P. Kuala Lumpur",2003,0,0,0,0,0,740.3,22,115,144,124.1,96.4,85.4,69.7,49.9,23.4,10.4
"W.P. Labuan",2003,0,0,0,0,0,33.3,2.2,7.1,5.5,5,4.8,3.4,2.8,1.7,0.6,0.3
"W.P. Kuala Lumpur",2004,0,0,0,0,0,691.6,19.3,75,136.7,125.7,99,85.5,70.1,48.7,21.3,10.2
"W.P. Labuan",2004,0,0,0,0,0,34,3.3,5.8,5.2,5,4.5,4.2,3.1,2.1,0.6,0.2
"W.P. Kuala Lumpur",2005,0,0,0,0,0,691.4,15.7,69.6,136.3,130.5,101.5,85.4,71.1,50.6,21.7,8.8
"W.P. Labuan",2005,0,0,0,0,0,32.2,2.6,5.4,5.2,4.7,4.4,3.8,3.1,2,0.7,0.3
"W.P. Kuala Lumpur",2006,0,0,0,0,0,696.1,16.3,69.8,129.1,131.3,104.6,86,71.2,54.1,23.1,10.5
"W.P. Labuan",2006,0,0,0,0,0,33.7,2.8,6.6,5.2,4.4,4.3,3.7,3.5,2.1,0.7,0.3
"W.P. Kuala Lumpur",2007,0,0,0,0,0,702.4,17.4,72.4,117.6,131.1,109,88,74.8,55.7,26.5,9.9
"W.P. Labuan",2007,0,0,0,0,0,34.1,2.4,6.3,5.4,4.5,4.1,4.3,3.3,2.2,1.3,0.3
"W.P. Kuala Lumpur",2008,0,0,0,0,0,701,15.1,70.7,110.5,130.4,117.3,90.8,75.8,55.6,23.5,11.3
"W.P. Labuan",2008,0,0,0,0,0,34.5,2.3,6.3,5.4,4.6,4.1,4,3.7,2.6,1,0.4
"W.P. Kuala Lumpur",2009,0,0,0,0,0,698.3,13.2,67,101.9,127.4,118.4,95.4,77.2,59,27.3,11.5
"W.P. Labuan",2009,0,0,0,0,0,37.6,2.7,6.8,5.9,4.8,4.5,4.3,4,2.8,1.4,0.5
"W.P. Kuala Lumpur",2010,0,0,0,0,0,812.9,17.4,109.1,168.2,137.3,104.2,91.4,82.1,58.9,29.8,14.7
"W.P. Labuan",2010,0,0,0,0,0,40,2.4,7.1,9.5,5.4,4.5,3.7,3.5,2.4,1,0.5
"W.P. Kuala Lumpur",2011,0,0,0,0,0,837.6,18.3,106.8,175.8,147,109.2,91.7,81.4,61,32,14.5
"W.P. Labuan",2011,0,0,0,0,0,40.3,2.2,6.2,9.7,6.4,4.4,3.8,3.4,2.5,1.2,0.6
"W.P. Putrajaya",2011,0,0,0,0,0,41.9,0.4,4.3,14.1,9.4,4.6,2.9,2.7,2.5,1,0.1
"W.P. Kuala Lumpur",2012,0,0,0,0,0,842.9,17.4,105.2,169.4,151,111.1,93.3,83.6,62.5,33.6,15.9
"W.P. Labuan",2012,0,0,0,0,0,41.3,2,5.9,9.4,7.1,4.6,4,3.4,2.8,1.5,0.6
"W.P. Putrajaya",2012,0,0,0,0,0,40.9,0.2,3.4,12.5,10.7,4.8,2.9,2.6,2.5,1.3,0.1
"W.P. Kuala Lumpur",2013,0,0,0,0,0,907.3,17.4,110,175.3,159.4,120.2,104,86.3,71.9,43.6,19.1
"W.P. Labuan",2013,0,0,0,0,0,41.8,1.9,6.1,8.7,8,4.5,4.2,3.5,2.8,1.6,0.6
"W.P. Putrajaya",2013,0,0,0,0,0,41.2,0.3,2.8,10.3,12.4,5.2,3.2,2.7,2.6,1.5,0.2
"W.P. Kuala Lumpur",2014,0,0,0,0,0,877,15.2,92,167.3,159.7,127.8,101.3,88,70.4,37.9,17.4
"W.P. Labuan",2014,0,0,0,0,0,43,1.6,7.1,7.8,8.6,4.5,4.2,3.5,2.9,1.9,0.7
"W.P. Putrajaya",2014,0,0,0,0,0,40.8,0.3,2.4,8.2,13.4,5.8,3.3,2.7,2.6,1.8,0.1
"W.P. Kuala Lumpur",2015,0,0,0,0,0,882.6,13.4,90.4,162.9,163.7,129.4,100.9,85.4,71.4,44.7,20.5
"W.P. Labuan",2015,0,0,0,0,0,41.5,1.5,5.4,7.3,9.2,5.1,4.2,3.5,2.6,1.9,0.8
"W.P. Putrajaya",2015,0,0,0,0,0,38.9,0.2,2,6.4,13.1,6.4,3.5,2.8,2.5,1.8,0.2
"W.P. Kuala Lumpur",2016,0,0,0,0,0,855.4,11.4,84.8,156.1,159.5,126.2,100.4,87.8,71,42.7,15.6
"W.P. Labuan",2016,0,0,0,0,0,43.6,1.5,6.4,7.8,8.9,5.3,4.3,3.5,3.1,2.1,0.7
"W.P. Putrajaya",2016,0,0,0,0,0,38.9,0.4,2,6.3,13.1,6.5,3.4,2.6,2.6,1.9,0.2
"W.P. Kuala Lumpur",2017,0,0,0,0,0,867.9,13.6,85.5,155.8,161.8,132.4,98.4,90,73.3,42.7,14.5
"W.P. Labuan",2017,0,0,0,0,0,41.8,1.6,6.3,6.9,8.4,5.6,4.1,3.5,2.8,1.8,0.7
"W.P. Putrajaya",2017,0,0,0,0,0,37.7,0.2,2.2,4,12.1,8,4,2.7,2.5,1.9,0.1
